 ,Label,Area,Mean,Min,Max,Median,hr,Median_area,Mean_area
1,010716_01_R3D_w594_t01.tif,2254,50.222271517,40,67,50,0,112700,113200.999999318
73,010716_01_R3D_w594_t02.tif,2290,50.534497817,40,65,51,0.3,116790,115724.00000093
66,010716_01_R3D_w594_t03.tif,7816,46.199334698,40,67,45,0.6,351720,361093.999999568
32,010716_01_R3D_w594_t04.tif,18200,46.78989011,40,78,45,0.9,819000,851576.000002
38,010716_01_R3D_w594_t05.tif,28574,49.43011129,40,87,48,1.2,1371552,1412416.00000046
18,010716_01_R3D_w594_t06.tif,43595,51.503268723,40,100,50,1.5,2179750,2245284.99997918
54,010716_01_R3D_w594_t07.tif,63526,53.110899474,40,105,50,1.8,3176300,3373922.99998532
19,010716_01_R3D_w594_t08.tif,80095,55.382670579,40,115,52,2.1,4164940,4435875.00002501
70,010716_01_R3D_w594_t09.tif,91987,57.709969887,40,140,54,2.4,4967298,5308566.99999547
72,010716_01_R3D_w594_t10.tif,100936,60.113150908,40,153,57,2.7,5753352,6067581.00004989
10,010716_01_R3D_w594_t11.tif,107422,62.193898829,40,161,59,3,6337898,6680993.00000884
26,010716_01_R3D_w594_t12.tif,112123,64.03142085,40,174,60,3.3,6727380,7179394.99996455
59,010716_01_R3D_w594_t13.tif,116783,65.699982018,40,169,61,3.6,7123763,7672641.00000809
27,010716_01_R3D_w594_t14.tif,120845,67.122363358,40,167,63,3.9,7613235,8111401.99999751
55,010716_01_R3D_w594_t15.tif,124046,68.660230882,40,171,64,4.2,7938944,8517026.99998857
23,010716_01_R3D_w594_t16.tif,126480,70.005439595,40,166,65,4.5,8221200,8854287.9999756
48,010716_01_R3D_w594_t17.tif,128542,71.339429914,40,169,67,4.8,8612314,9170113.00000539
47,010716_01_R3D_w594_t18.tif,130957,72.04131127,40,165,67,5.1,8774119,9434313.99998539
36,010716_01_R3D_w594_t19.tif,132556,73.284785298,40,173,68,5.4,9013808,9714337.99996169
34,010716_01_R3D_w594_t20.tif,133466,74.645198028,40,183,69,5.7,9209154,9962596.00000505
39,010716_01_R3D_w594_t21.tif,134160,75.684697376,40,195,70,6,9391200,10153858.9999642
37,010716_01_R3D_w594_t22.tif,134777,76.516223094,40,199,70,6.3,9434390,10312626.99994
29,010716_01_R3D_w594_t23.tif,135114,77.654484361,40,228,72,6.6,9728208,10492207.9999522
67,010716_01_R3D_w594_t24.tif,136811,78.519146852,40,241,72,6.9,9850392,10742282.999969
75,010716_01_R3D_w594_t25.tif,138361,79.068068314,40,249,73,7.2,10100353,10939936.9999934
2,010716_01_R3D_w594_t26.tif,139561,79.49157716,40,219,73,7.5,10187953,11093924.0000268
17,010716_01_R3D_w594_t27.tif,139902,80.203378079,40,214,73,7.8,10212846,11220613.0000083
35,010716_01_R3D_w594_t28.tif,140198,80.840211701,40,224,74,8.1,10374652,11333636.0000568
78,010716_01_R3D_w594_t29.tif,141410,81.510713528,40,230,74,8.4,10464340,11526429.9999945
8,010716_01_R3D_w594_t30.tif,141742,82.326431121,40,255,75,8.7,10630650,11669112.9999528
58,010716_01_R3D_w594_t31.tif,141735,83.2249268,40,255,76,9,10771860,11795884.999998
53,010716_01_R3D_w594_t32.tif,141551,83.915133062,40,255,76,9.3,10757876,11878271.0000592
49,010716_01_R3D_w594_t33.tif,141699,84.495832716,40,255,76,9.6,10769124,11972975.0000245
6,010716_01_R3D_w594_t34.tif,141201,85.521738515,40,255,77,9.9,10872477,12075755.0000565
79,010716_01_R3D_w594_t35.tif,141356,86.28051869,40,255,77,10.2,10884412,12196268.9999436
30,010716_01_R3D_w594_t36.tif,141160,87.083387645,40,255,78,10.5,11010480,12292690.9999682
64,010716_01_R3D_w594_t37.tif,140899,87.989467633,40,255,79,10.8,11131021,12397628.0000221
