well,plate,treatment,day,plate_pos,broth_pos,censor,dead,bd1,bd2,il6,il8,vegf,sterile_d9_0
A1,1,E. coli,0,0,0,0,0,,,,,,0
B1,1,E. coli,0,0,0,0,0,,,,,,0
C1,1,E. coli,0,0,0,0,0,,,,,,0
D1,1,E. coli,0,0,0,0,0,,,,,,0
A2,1,E. coli,0,0,0,0,0,,,,,,0
B2,1,E. coli,0,0,0,0,0,,,,,,0
C2,1,E. coli,0,0,0,0,0,,,,,,0
D2,1,E. coli,0,0,0,0,0,,,,,,1
A3,1,E. coli,0,0,0,0,0,,,,,,0
B3,1,E. coli,0,0,0,0,0,,,,,,0
C3,1,E. coli,0,0,0,0,0,,,,,,0
D3,1,E. coli,0,0,0,0,0,,,,,,0
A4,1,E. coli,0,0,0,0,0,,,,,,1
B4,1,E. coli,0,0,0,0,0,,,,,,0
C4,1,E. coli,0,0,0,0,0,,,,,,0
D4,1,E. coli,0,0,0,0,0,,,,,,0
A5,1,E. coli,0,0,0,0,0,,,,,,0
B5,1,E. coli,0,0,0,0,0,,,,,,0
C5,1,E. coli,0,0,0,0,0,,,,,,0
D5,1,E. coli,0,0,0,0,0,,,,,,0
A6,1,E. coli,0,0,0,0,0,,,,,,0
B6,1,E. coli,0,0,0,0,0,,,,,,0
C6,1,E. coli,0,0,0,0,0,,,,,,0
D6,1,E. coli,0,0,0,0,0,,,,,,1
A1,2,E. coli,0,0,0,0,0,,,,,,1
B1,2,E. coli,0,0,0,0,0,,,,,,1
C1,2,E. coli,0,0,0,0,0,,,,,,1
D1,2,E. coli,0,0,0,0,0,,,,,,1
A2,2,E. coli,0,0,0,0,0,,,,,,0
B2,2,E. coli,0,0,0,0,0,,,,,,0
C2,2,E. coli,0,0,0,0,0,,,,,,1
D2,2,E. coli,0,0,0,0,0,,,,,,0
A3,2,E. coli,0,0,0,0,0,,,,,,1
B3,2,E. coli,0,0,0,0,0,,,,,,0
C3,2,E. coli,0,0,0,0,0,,,,,,0
D3,2,E. coli,0,0,0,0,0,,,,,,0
A4,2,E. coli,0,0,0,0,0,,,,,,0
B4,2,E. coli,0,0,0,0,0,,,,,,0
C4,2,E. coli,0,0,0,0,0,,,,,,0
D4,2,E. coli,0,0,0,0,0,,,,,,0
A5,2,E. coli,0,0,0,0,0,,,,,,1
B5,2,E. coli,0,0,0,0,0,,,,,,0
C5,2,E. coli,0,0,0,0,0,,,,,,0
D5,2,E. coli,0,0,0,0,0,,,,,,1
A6,2,E. coli,0,0,0,0,0,,,,,,0
B6,2,E. coli,0,0,0,0,0,,,,,,0
C6,2,E. coli,0,0,0,0,0,,,,,,0
