sample,undiluted,diluted,CFU_HIO_1,CFU_HIO_2,mean
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
C,0,0,0,0,0
C,0,0,0,0,0
C,207,,414,,414
C,,40,,80000,80000
C,,4,,8000,8000
C,,178,,356000,356000
C,,6,,12000,12000
C,684,1,1368,2000,1684
C,772,,1544,,1544
C,,25,,50000,50000
C,,2,,4000,4000
D,,80,,160000,160000
D,153,,306,,306
D,,1,,2000,2000
D,0,0,0,0,0
D,,31,,62000,62000
D,,161,,322000,322000
D,0,0,0,0,0
D,,52,,104000,104000
D,1,1,2,2000,1001
D,,35,,70000,70000
D,125,,250,,250
E,,34,,68000,68000
E,,32,,64000,64000
E,,5,,10000,10000
E,1212,,2424,,2424
E,,17,,34000,34000
E,,80,,160000,160000
E,,16,,32000,32000
E,,4,,8000,8000
E,,2,,4000,4000
E,772,,1544,,1544
E,,5,,10000,10000
F,,23,,46000,46000
F,,23,,46000,46000
F,,1,,2000,2000
F,295,,590,,590
F,505,,1010,,1010
F,90,,180,,180
F,712,,1424,,1424
F,,73,,146000,146000
F,684,,1368,,1368
F,,109,,218000,218000
F,1176,1,2352,2000,2176
F,,58,,116000,116000
G,,52,,104000,104000
G,,2,,4000,4000
G,,31,,62000,62000
G,,47,,94000,94000
G,187,,374,,374
G,,24,,48000,48000
G,,32,,64000,64000
G,,39,,78000,78000
G,,65,,130000,130000
G,,209,,418000,418000
G,,99,,198000,198000
