hr,CFU
24,1352000
24,160000
24,28000
24,0
24,0
24,0
24,0
24,0
24,0
24,0
24,0
24,0
24,414
24,80000
24,8000
24,356000
24,12000
24,1684
24,1544
24,50000
24,4000
48,354000
48,172000
48,1609
48,36
48,318
48,278000
48,3232000
48,2556000
48,0
48,0
48,0
0,7.7
0,5
0,10
48,3755.556
48,8855.556
48,119666.7
48,7083.334
48,350
48,316.6666
24,635
24,76500
24,71500
24,150
24,305
72,0
72,160
72,20
72,59166.66
72,633.3334
72,226666.6
0,15
0,12
72,1496000
72,648000
72,1220
72,16000
72,192000
72,2544000
72,10000
72,36
72,2792000
72,2760000
72,40000
72,154000
72,3648000
72,0
72,0
