 ,Label,Area,Mean,Min,Max,Angle,Median,Length
1,Image_42461.tif,447,165.091723039,135,203,0,0,447
2,Image_42461.tif,31,215.126165082,171.333328247,246.400009155,-3.814074834,0,30.066592757
3,Image_42462.tif,362,163.312738366,149.302856445,185.666671753,0.158713665,0,361.001385039
4,Image_42462.tif,23,203.820816703,187.939392090,231.212127686,-5.194428908,0,22.090722034
5,Image_42463.tif,358,174.027893876,160.067230225,187.565826416,0.481465806,0,357.012604819
6,Image_42463.tif,17,197.333333633,195,200.333328247,0,0,17
7,Image_42464.tif,285,156.758649806,149.691314697,187.413146973,8.101554385,0,283.832697200
8,Image_42464.tif,22,192.961038763,186.047607422,202.333328247,-5.440332031,0,21.095023110
9,Image_42465.tif,344,160.358733377,150.885604858,169.072113037,5.527540152,0,342.593053053
10,Image_42465.tif,1392640,188.630091768,122,252,0,190,0
11,Image_42466.tif,366,158.542904505,143.450485229,176.428543091,5.350935490,0,364.588809483
12,Image_42466.tif,1392640,189.739484002,120,240,0,192,0
