cfu,time,group,o2
0,0,PBS,2.9
0,0,PBS,8.5
0,0,PBS,7.6
0,0,PBS,6.3
0,0,PBS,8.5
0,0,PBS,7.9
0,24,PBS,2.4
0,24,PBS,4
0,24,PBS,5
0,24,PBS,4.8
0,24,PBS,6.8
0,24,PBS,4.4
0,48,PBS,9
0,48,PBS,8.9
0,48,PBS,7.1
0,48,PBS,8.1
0,48,PBS,8.3
0,48,PBS,8.6
0,48,PBS,4.7
0,48,PBS,3.8
0,48,PBS,3.7
0,48,PBS,4.7
0,72,PBS,6
0,72,PBS,7.5
0,72,PBS,10.1
0,72,PBS,7.8
0,72,PBS,6.2
0,72,PBS,7.5
105,0,+ E. coli,8.7
6.666666,0,+ E. coli,8.1
21233.34,0,+ E. coli,9.1
145,0,+ E. coli,6.3
333.3334,0,+ E. coli,8
635,24,+ E. coli,2.8
76500,24,+ E. coli,0.2
71500,24,+ E. coli,0
150,24,+ E. coli,4.7
305,24,+ E. coli,3.9
3755.556,48,+ E. coli,0
8855.556,48,+ E. coli,1.1
119666.7,48,+ E. coli,0
7083.334,48,+ E. coli,2.5
350,48,+ E. coli,3
316.6666,48,+ E. coli,3.4
0,72,+ E. coli,6
160,72,+ E. coli,7.9
20,72,+ E. coli,5.9
59166.66,72,+ E. coli,5.4
633.3334,72,+ E. coli,7.7
226666.6,72,+ E. coli,0
