count  file
622 ../data/figure4_/dapi_ki67_edu_counts/01_ecoli_24h_(w)ecad_(b)dapi_Counts.csv
768 ../data/figure4_/dapi_ki67_edu_counts/01_ecoli_24h_(w)ecad_(g)edu_Counts.csv
479 ../data/figure4_/dapi_ki67_edu_counts/01_ecoli_24h_(w)ecad_(r)ki67_Counts.csv
293 ../data/figure4_/dapi_ki67_edu_counts/01_ecoli_48h_(w)ecad_(b)dapi_Counts.csv
16 ../data/figure4_/dapi_ki67_edu_counts/01_ecoli_48h_(w)ecad_(g)edu_Counts.csv
15 ../data/figure4_/dapi_ki67_edu_counts/01_ecoli_48h_(w)ecad_(r)ki67_Counts.csv
372 ../data/figure4_/dapi_ki67_edu_counts/01_ecoli_96h_(w)ecad_(b)dapi_Counts.csv
266 ../data/figure4_/dapi_ki67_edu_counts/01_ecoli_96h_(w)ecad_(g)edu_Counts.csv
196 ../data/figure4_/dapi_ki67_edu_counts/01_ecoli_96h_(w)ecad_(r)ki67_Counts.csv
923 ../data/figure4_/dapi_ki67_edu_counts/01_pbs_24h_(w)ecad_(b)dapi_Counts.csv
160 ../data/figure4_/dapi_ki67_edu_counts/01_pbs_24h_(w)ecad_(g)edu_Counts.csv
284 ../data/figure4_/dapi_ki67_edu_counts/01_pbs_24h_(w)ecad_(r)ki67_Counts.csv
407 ../data/figure4_/dapi_ki67_edu_counts/01_pbs_48h_(w)ecad_(b)dapi_Counts.csv
370 ../data/figure4_/dapi_ki67_edu_counts/01_pbs_48h_(w)ecad_(g)edu_Counts.csv
279 ../data/figure4_/dapi_ki67_edu_counts/01_pbs_48h_(w)ecad_(r)ki67_Counts.csv
146 ../data/figure4_/dapi_ki67_edu_counts/01_pbs_96h_(w)ecad_(b)dapi_Counts.csv
37 ../data/figure4_/dapi_ki67_edu_counts/01_pbs_96h_(w)ecad_(g)edu_Counts.csv
4 ../data/figure4_/dapi_ki67_edu_counts/01_pbs_96h_(w)ecad_(r)ki67_Counts.csv
116 ../data/figure4_/dapi_ki67_edu_counts/02_ecoli_24h_(w)ecad_(b)dapi_Counts.csv
1 ../data/figure4_/dapi_ki67_edu_counts/02_ecoli_24h_(w)ecad_(g)edui_Counts.csv
2 ../data/figure4_/dapi_ki67_edu_counts/02_ecoli_24h_(w)ecad_(r)ki67i_Counts.csv
207 ../data/figure4_/dapi_ki67_edu_counts/02_ecoli_48h_(w)ecad_(b)dapi_Counts.csv
1 ../data/figure4_/dapi_ki67_edu_counts/02_ecoli_48h_(w)ecad_(g)edu_Counts.csv
1 ../data/figure4_/dapi_ki67_edu_counts/02_ecoli_48h_(w)ecad_(r)ki67_Counts.csv
172 ../data/figure4_/dapi_ki67_edu_counts/02_ecoli_96h_(w)ecad_(b)dapi_Counts.csv
118 ../data/figure4_/dapi_ki67_edu_counts/02_ecoli_96h_(w)ecad_(g)edu_Counts.csv
