,ProtoCOL 3 1.2.4.0,,,,,,,,,
Batch Name,9/1/2017,,,,,,,,,
Type,Spiral Plate,,,,,,,,,
Based on,-,,,,,,,,,
Created by ,P3Admin (Session ID - 26),,,,,,,,,
,,,,,,,,,,
Dish Diameter,90,mm,,,,,,,,
Spiral Volume,50,microlitre,,,,,,,,
Spiral Size,Spiral 90 mm,,,,,,,,,
Spiral Frame ,Two Sectors,,,,,,,,,
 ,,,,,,,,,,
Calibration Factor,0,mm \ Pixel,Created: ,12:42 PM,9/1/2017,P3Admin (Session ID - 26),,,,
Plate_ID,Count_per_Frame,Count_per_ml,Spiral_Stop,Dilution_Factor,Flags,Time,Date,User,Comment,
E8,143,2860,W,1 in 1,,12:42 PM,9/1/2017,P3Admin,,7285
E7,213,7100,4B,1 in 1,,12:41 PM,9/1/2017,P3Admin,,
E6,202,6730,4B,1 in 1,,12:41 PM,9/1/2017,P3Admin,,
E5,231,7700,4B,1 in 1,,12:41 PM,9/1/2017,P3Admin,,
E4,228,7600,4B,1 in 1,,12:40 PM,9/1/2017,P3Admin,,
E3,219,7300,4B,1 in 1,,12:40 PM,9/1/2017,P3Admin,,
E2,218,7270,4B,1 in 1,,12:39 PM,9/1/2017,P3Admin,,
E1,222,7400,4B,1 in 1,,12:38 PM,9/1/2017,P3Admin,,
D8,202,6730,4B,1 in 1,,12:37 PM,9/1/2017,P3Admin,,6915
D7,199,6630,4B,1 in 1,,12:37 PM,9/1/2017,P3Admin,,
D6,202,6730,4B,1 in 1,,12:36 PM,9/1/2017,P3Admin,,
D5,207,6900,4B,1 in 1,,12:36 PM,9/1/2017,P3Admin,,
D4,208,6930,4B,1 in 1,,12:36 PM,9/1/2017,P3Admin,,
D3,213,7100,4B,1 in 1,,12:35 PM,9/1/2017,P3Admin,,
D2,231,7700,4B,1 in 1,,12:35 PM,9/1/2017,P3Admin,,
D1,240,8000,4B,1 in 1,,12:35 PM,9/1/2017,P3Admin,,
C8,199,6630,4B,1 in 1,,12:34 PM,9/1/2017,P3Admin,,6430
C7,187,6230,4B,1 in 1,,12:33 PM,9/1/2017,P3Admin,,
C6,200,6670,4B,1 in 1,,12:33 PM,9/1/2017,P3Admin,,
C5,180,6000,4B,1 in 1,,12:33 PM,9/1/2017,P3Admin,,
C4,200,6670,4B,1 in 1,,12:32 PM,9/1/2017,P3Admin,,
C3,217,7230,4B,1 in 1,,12:32 PM,9/1/2017,P3Admin,,
C2,177,5900,4B,1 in 1,,12:31 PM,9/1/2017,P3Admin,,
C1,183,6100,4B,1 in 1,,12:30 PM,9/1/2017,P3Admin,,
B8,175,5830,4B,1 in 1,,12:29 PM,9/1/2017,P3Admin,,6280
B7,132,2640,W,1 in 1,,12:29 PM,9/1/2017,P3Admin,,
B6,169,5630,4B,1 in 1,,12:29 PM,9/1/2017,P3Admin,,
B5,202,6730,4B,1 in 1,,12:28 PM,9/1/2017,P3Admin,,
B4,204,6800,4B,1 in 1,,12:28 PM,9/1/2017,P3Admin,,
B3,156,3120,W,1 in 1,,12:27 PM,9/1/2017,P3Admin,,
B2,177,9680,4C,1 in 1,,12:27 PM,9/1/2017,P3Admin,,
B1,214,7130,4B,1 in 1,,12:26 PM,9/1/2017,P3Admin,,
A7,205,6830,4B,1 in 1,,12:26 PM,9/1/2017,P3Admin,,7015
A6,217,7230,4B,1 in 1,,12:25 PM,9/1/2017,P3Admin,,
A5,196,6530,4B,1 in 1,,12:25 PM,9/1/2017,P3Admin,,
A4,163,5430,4B,1 in 1,,12:24 PM,9/1/2017,P3Admin,,
A3,177,5900,4B,1 in 1,,12:24 PM,9/1/2017,P3Admin,,
A2,216,7200,4B,1 in 1,,12:23 PM,9/1/2017,P3Admin,,
A1,243,8100,4B,1 in 1,,12:23 PM,9/1/2017,P3Admin,,
A8,239,7970,4B,1 in 1,,12:21 PM,9/1/2017,P3Admin,,
