HIO1,HIO2,HIO3,HIO4,HIO5,HIO6,HIO7,HIO8,HIO9,HIO10,HIO11,HIO12,HIO13,HIO14,HIO15,treatment,hr,,,,,,,,,,
1.0000000003,1,1,1,0.9999999998,1,0.9999999999,1,0.9999999998,,,,,,,TNF&IFN,0,,,,,,,,,,
0.9692919467,0.9027791129,0.9304108276,0.8895197404,0.9706039136,0.8708774086,0.9708387436,0.9425495617,0.9725766384,,,,,,,TNF&IFN,0.1666666667,,,,,,,,,,
0.9660335243,0.8408606627,0.8953499617,0.8393536558,0.9663817949,0.7848237495,0.9745224568,0.9183780894,0.9594279014,,,,,,,TNF&IFN,0.3333333333,,,,,,,,,,
0.9590719644,0.7930296682,0.864230047,0.8067930527,0.9641324561,0.7063370422,0.9743460423,0.888805813,0.951911157,,,,,,,TNF&IFN,0.5,,,,,,,,,,
0.9375131131,0.746314797,0.8331906214,0.7709497253,0.9462266522,0.6254581382,0.9647673151,0.8595052978,0.9434593935,,,,,,,TNF&IFN,0.6666666667,,,,,,,,,,
0.9241187453,0.7121667794,0.7931439204,0.7591285229,0.9443630117,0.5554367217,0.9665945682,0.8336077868,0.9348874688,,,,,,,TNF&IFN,0.8333333333,,,,,,,,,,
0.9206446188,0.6832658296,0.7653482035,0.7524770394,0.9376064406,0.4895133582,0.9622132373,0.8070544855,0.9322569158,,,,,,,TNF&IFN,1,,,,,,,,,,
0.9073635025,0.6649913071,0.7531340636,0.745737415,0.932782569,0.4323434716,0.9648344544,0.785773993,0.9284086947,,,,,,,TNF&IFN,1.1666666667,,,,,,,,,,
0.8922396184,0.6558310146,0.7422919332,0.7488030358,0.928386801,0.3847774545,0.9624752486,0.7679205435,0.9247815173,,,,,,,TNF&IFN,1.3333333333,,,,,,,,,,
0.8454411021,0.638305671,0.7216488043,0.7344255915,0.9194979757,0.3356351203,0.9497259301,0.7452261801,0.923945862,,,,,,,TNF&IFN,1.5,,,,,,,,,,
0.8426316091,0.6281423316,0.7109535504,0.7238094196,0.915297014,0.2955582659,0.9546681543,0.7366934628,0.9167045923,,,,,,,TNF&IFN,1.6666666667,,,,,,,,,,
0.8249359781,0.6066251068,0.6912123188,0.7174251807,0.9067393989,0.2485070563,0.9399565299,0.7233031597,0.9108500753,,,,,,,TNF&IFN,1.8333333333,,,,,,,,,,
0.8128966129,0.59163593,0.6759553478,0.6997631215,0.8997553116,0.2134559601,0.928190553,0.7050272329,0.8989074806,,,,,,,TNF&IFN,2,,,,,,,,,,
0.8086027473,0.5814398415,0.6705131004,0.6892762766,0.8933337542,0.1812440699,0.9173401743,0.6917709544,0.896501937,,,,,,,TNF&IFN,2.1666666667,,,,,,,,,,
0.8074933084,0.5632760088,0.6548469566,0.6728867409,0.8856776348,0.1605331755,0.9118520046,0.6847080432,0.8886753342,,,,,,,TNF&IFN,2.3333333333,,,,,,,,,,
0.8084452389,0.5653341834,0.6500135356,0.67910042,0.8893997981,0.1388771057,0.9085669901,0.6867738415,0.8857064727,,,,,,,TNF&IFN,2.5,,,,,,,,,,
0.8084412409,0.5608385712,0.6498902352,0.6881595956,0.8918406253,0.1180872011,0.8951896464,0.6742278073,0.8802175091,,,,,,,TNF&IFN,2.6666666667,,,,,,,,,,
0.8126338832,0.54655845,0.630617492,0.6720949357,0.8816495668,0.1033654221,0.8667398795,0.6593819288,0.8682136341,,,,,,,TNF&IFN,2.8333333333,,,,,,,,,,
0.7937695467,0.5343467844,0.6246078862,0.6725526235,0.8823222792,0.0815535035,0.8724824495,0.6617432553,0.8676168609,,,,,,,TNF&IFN,3,,,,,,,,,,
0.7991814949,0.5442234381,0.6302022608,0.6796559586,0.8743926715,0.075371038,0.8593338673,0.6668211585,0.8788053891,,,,,,,TNF&IFN,3.1666666667,,,,,,,,,,
0.7817149811,0.5268220574,0.6015029127,0.6717510957,0.8760436498,0.0626787158,0.8506396925,0.6594752147,0.8631615482,,,,,,,TNF&IFN,3.3333333333,,,,,,,,,,
0.7830394821,0.5151020543,0.5877881979,0.6601234104,0.861233897,0.0545381177,0.830428873,0.6454216235,0.8537014626,,,,,,,TNF&IFN,3.5,,,,,,,,,,
0.7630687011,0.514228385,0.5852131332,0.6774061457,0.8708721164,0.0513012614,0.8344693056,0.6578178494,0.859168611,,,,,,,TNF&IFN,3.6666666667,,,,,,,,,,
0.7574201432,0.510963181,0.5796998863,0.6843304366,0.8754245889,0.0439808209,0.8121000926,0.6562825604,0.8622867233,,,,,,,TNF&IFN,3.8333333333,,,,,,,,,,
0.7498692976,0.50757112,0.5741007784,0.6846886763,0.8617700466,0.0387746201,0.7773891864,0.6474136716,0.8512173097,,,,,,,TNF&IFN,4,,,,,,,,,,
0.7407236621,0.5023744272,0.5725050367,0.6949783839,0.8616082036,0.0310926969,0.7471883263,0.659926354,0.857468336,,,,,,,TNF&IFN,4.1666666667,,,,,,,,,,
0.7245353549,0.4928845446,0.5601455322,0.6795248743,0.844712399,0.023517818,0.696393285,0.6362722171,0.8385537831,,,,,,,TNF&IFN,4.3333333333,,,,,,,,,,
0.7235575533,0.4885708379,0.5598557971,0.6856963946,0.8431849402,0.0183124302,0.6749698249,0.643117768,0.8295471493,,,,,,,TNF&IFN,4.5,,,,,,,,,,
0.7188689483,0.4862858958,0.5657534596,0.693152307,0.84881812,0.0160952411,0.6587924561,0.6324139461,0.8201468625,,,,,,,TNF&IFN,4.6666666667,,,,,,,,,,
0.7107744792,0.4814138864,0.5589223351,0.6866176251,0.8387627404,0.0129331555,0.634074503,0.6301918406,0.818042096,,,,,,,TNF&IFN,4.8333333333,,,,,,,,,,
0.7076439237,0.4756191333,0.5607763223,0.6966825239,0.8430748782,0.0092787534,0.6337081324,0.6456086236,0.8294133519,,,,,,,TNF&IFN,5,,,,,,,,,,
0.7031361242,0.4708517087,0.5483238105,0.6928663632,0.8367232604,0.0100411812,0.6057457599,0.6318374836,0.8127884807,,,,,,,TNF&IFN,5.1666666667,,,,,,,,,,
0.6977090448,0.4732641841,0.5513528286,0.7020937852,0.8341000326,0.0106935988,0.5935891072,0.632259367,0.809520096,,,,,,,TNF&IFN,5.3333333333,,,,,,,,,,
0.6944951925,0.4666081123,0.5505413156,0.7067053114,0.8404357495,0.0034219516,0.5767894861,0.6425552235,0.8082994432,,,,,,,TNF&IFN,5.5,,,,,,,,,,
0.6909266419,0.4637618469,0.5464221933,0.7169310774,0.8430002594,0.0039922769,0.5484908124,0.645832108,0.8059300751,,,,,,,TNF&IFN,5.6666666667,,,,,,,,,,
0.6702145164,0.4439643466,0.5255080009,0.6932743902,0.8213211195,0,0.5028846691,0.6322998584,0.7951406877,,,,,,,TNF&IFN,5.8333333333,,,,,,,,,,
0.6630230148,0.4381323057,0.5170637663,0.6890076131,0.8126494239,0,0.4773864591,0.6323841616,0.7917051668,,,,,,,TNF&IFN,6,,,,,,,,,,
0.655685134,0.4315422306,0.5071419733,0.6915360784,0.8124155578,0,0.4549515938,0.6333970874,0.7849295271,,,,,,,TNF&IFN,6.1666666667,,,,,,,,,,
0.6416190594,0.4351431784,0.5072130142,0.6928196332,0.8049620325,0,0.4358739467,0.6309971278,0.7810413572,,,,,,,TNF&IFN,6.3333333333,,,,,,,,,,
0.6265979435,0.4219418845,0.4981231298,0.6880637125,0.7935385669,0,0.4156629958,0.621861262,0.7762163778,,,,,,,TNF&IFN,6.5,,,,,,,,,,
0.6324484029,0.423255614,0.4965966177,0.689884515,0.8007008358,0,0.4069287916,0.6213765295,0.7633285082,,,,,,,TNF&IFN,6.6666666667,,,,,,,,,,
0.6276564954,0.4262022757,0.5036787029,0.69718314,0.7931270101,0,0.3922175149,0.6086033586,0.758835281,,,,,,,TNF&IFN,6.8333333333,,,,,,,,,,
0.6159543292,0.4276192328,0.5057399928,0.7060558126,0.7868355847,0,0.3779081158,0.610444004,0.7514308716,,,,,,,TNF&IFN,7,,,,,,,,,,
0.616437271,0.4213380817,0.502066563,0.7000845193,0.7842144422,0,0.3650865386,0.6107549926,0.748963451,,,,,,,TNF&IFN,7.1666666667,,,,,,,,,,
