 ,Label,Area,Mean,Min,Max,Median
1,160929_10_R3D_xx_523_xx_t068.tif,99251,53.176632981,50,65,53
2,160929_05_R3D_xx_523_xx_t132.tif,275083,60.109247027,50,75,61
3,160929_17_R3D_xx_523_xx_t038.tif,470356,64.921027902,50,83,66
4,160929_30_R3D_xx_523_xx_t085.tif,348679,62.626602118,50,82,64
5,160929_23_R3D_xx_523_xx_t038.tif,622335,68.164813163,50,83,70
6,160929_28_R3D_xx_523_xx_t143.tif,187640,55.235349606,50,66,55
7,160929_21_R3D_xx_523_xx_t073.tif,548925,68.104225532,50,82,69
8,160929_07_R3D_xx_523_xx_t098.tif,111602,62.588708088,50,83,63
9,160929_03_R3D_xx_523_xx_t112.tif,42063,57.805743765,50,71,58
10,160929_27_R3D_xx_523_xx_t109.tif,467533,60.028851439,50,77,60
11,160929_15_R3D_xx_523_xx_t024.tif,76783,65.653803576,50,82,68
12,160929_15_R3D_xx_523_xx_t010.tif,73034,66.253799600,50,83,68
13,160929_28_R3D_xx_523_xx_t127.tif,241074,57.680707998,50,72,58
14,160929_23_R3D_xx_523_xx_t142.tif,548655,58.900655239,50,71,60
15,160929_22_R3D_xx_523_xx_t105.tif,592594,60.672983527,50,77,62
16,160929_02_R3D_xx_523_xx_t012.tif,389986,62.319224280,50,81,63
17,160929_12_R3D_xx_523_xx_t102.tif,286484,59.059455327,50,75,60
18,160929_14_R3D_xx_523_xx_t133.tif,385434,59.087830861,50,75,60
19,160929_24_R3D_xx_523_xx_t109.tif,616784,61.064132662,50,73,62
20,160929_13_R3D_xx_523_xx_t047.tif,376404,62.973350443,50,83,63
21,160929_30_R3D_xx_523_xx_t139.tif,258445,60.570604964,50,79,61
22,160929_25_R3D_xx_523_xx_t026.tif,503056,59.974155959,50,78,60
23,160929_26_R3D_xx_523_xx_t076.tif,120465,64.346241647,50,82,66
24,160929_21_R3D_xx_523_xx_t002.tif,532893,65.687096659,50,79,67
25,160929_23_R3D_xx_523_xx_t013.tif,575860,63.276428299,50,78,65
26,160929_15_R3D_xx_523_xx_t089.tif,83193,62.416934117,50,79,63
27,160929_09_R3D_xx_523_xx_t015.tif,8831,52.217302684,50,69,51
28,160929_14_R3D_xx_523_xx_t073.tif,414509,62.715403043,50,79,64
29,160929_30_R3D_xx_523_xx_t076.tif,357085,63.366517776,50,83,64
30,160929_08_R3D_xx_523_xx_t125.tif,0,NaN,255,12,255
31,160929_08_R3D_xx_523_xx_t043.tif,0,NaN,255,21,255
32,160929_26_R3D_xx_523_xx_t005.tif,174972,59.993033171,50,78,59
33,160929_10_R3D_xx_523_xx_t127.tif,5674,50.754317941,50,56,50
34,160929_07_R3D_xx_523_xx_t058.tif,126493,61.723004435,50,80,62
35,160929_31_R3D_xx_523_xx_t038.tif,0,NaN,255,22,255
36,160929_05_R3D_xx_523_xx_t030.tif,283916,57.198734837,50,76,56
37,160929_24_R3D_xx_523_xx_t055.tif,683702,67.897844382,50,84,69
38,160929_16_R3D_xx_523_xx_t073.tif,477626,62.709728951,50,81,63
39,160929_24_R3D_xx_523_xx_t059.tif,680102,67.058007475,50,82,68
40,160929_01_R3D_xx_523_xx_t036.tif,274,50.529197080,50,53,50
41,160929_06_R3D_xx_523_xx_t122.tif,104379,56.919409077,50,76,57
42,160929_30_R3D_xx_523_xx_t011.tif,240449,59.855915392,50,76,60
43,160929_11_R3D_xx_523_xx_t090.tif,166129,60.192615377,50,75,61
44,160929_22_R3D_xx_523_xx_t057.tif,619928,66.299878373,50,81,68
45,160929_03_R3D_xx_523_xx_t131.tif,37466,56.215742273,50,72,56
46,160929_09_R3D_xx_523_xx_t102.tif,0,NaN,255,34,255
47,160929_18_R3D_xx_523_xx_t010.tif,509707,59.789753721,50,74,60
48,160929_08_R3D_xx_523_xx_t023.tif,0,NaN,255,45,255
49,160929_24_R3D_xx_523_xx_t057.tif,681628,67.469421737,50,82,69
50,160929_17_R3D_xx_523_xx_t079.tif,459388,62.637443729,50,80,63
51,160929_21_R3D_xx_523_xx_t137.tif,500239,58.680750601,50,70,59
52,160929_19_R3D_xx_523_xx_t019.tif,463775,62.948561264,50,78,63
53,160929_18_R3D_xx_523_xx_t008.tif,514825,60.810242315,50,77,61
54,160929_20_R3D_xx_523_xx_t086.tif,385943,64.916508396,50,80,66
55,160929_31_R3D_xx_523_xx_t080.tif,0,NaN,255,10,255
56,160929_12_R3D_xx_523_xx_t019.tif,376827,62.845486125,50,81,63
57,160929_15_R3D_xx_523_xx_t118.tif,61912,57.053995994,50,69,57
58,160929_06_R3D_xx_523_xx_t046.tif,170768,58.349152066,50,76,58
59,160929_30_R3D_xx_523_xx_t138.tif,250965,59.947650071,50,78,61
60,160929_25_R3D_xx_523_xx_t101.tif,352434,54.964013120,50,67,55
61,160929_14_R3D_xx_523_xx_t054.tif,395396,62.239344859,50,78,63
62,160929_21_R3D_xx_523_xx_t124.tif,519624,61.422003218,50,73,62
63,160929_19_R3D_xx_523_xx_t104.tif,495210,64.286886371,50,80,65
64,160929_13_R3D_xx_523_xx_t056.tif,358627,63.049168077,50,81,64
65,160929_02_R3D_xx_523_xx_t043.tif,57242,53.607351246,50,68,53
66,160929_09_R3D_xx_523_xx_t012.tif,22224,52.877294816,50,71,52
67,160929_18_R3D_xx_523_xx_t117.tif,559033,60.422860547,50,76,61
68,160929_08_R3D_xx_523_xx_t056.tif,0,NaN,255,14,255
69,160929_25_R3D_xx_523_xx_t070.tif,511112,59.064437931,50,77,59
70,160929_25_R3D_xx_523_xx_t116.tif,276830,52.972932847,50,63,53
71,160929_22_R3D_xx_523_xx_t016.tif,578684,64.332824132,50,78,65
72,160929_30_R3D_xx_523_xx_t054.tif,355267,63.941784630,50,82,65
73,160929_01_R3D_xx_523_xx_t040.tif,13,50,50,50,50
74,160929_25_R3D_xx_523_xx_t024.tif,493158,59.686319597,50,78,60
75,160929_08_R3D_xx_523_xx_t073.tif,0,NaN,255,12,255
76,160929_16_R3D_xx_523_xx_t060.tif,483100,63.501771890,50,82,64
77,160929_26_R3D_xx_523_xx_t120.tif,61053,59.061946178,50,74,60
78,160929_26_R3D_xx_523_xx_t067.tif,130265,64.473273711,50,83,66
79,160929_03_R3D_xx_523_xx_t012.tif,284791,63.178580082,50,82,64
80,160929_08_R3D_xx_523_xx_t074.tif,0,NaN,255,12,255
81,160929_02_R3D_xx_523_xx_t002.tif,367383,61.277029694,50,78,62
82,160929_16_R3D_xx_523_xx_t108.tif,396110,57.650155260,50,72,58
83,160929_13_R3D_xx_523_xx_t112.tif,245725,58.074965917,50,73,59
84,160929_23_R3D_xx_523_xx_t046.tif,625613,67.939400236,50,83,70
85,160929_22_R3D_xx_523_xx_t111.tif,580852,59.412289189,50,73,60
86,160929_20_R3D_xx_523_xx_t030.tif,395628,65.240309078,50,81,67
87,160929_28_R3D_xx_523_xx_t077.tif,317229,61.926891930,50,82,62
88,160929_14_R3D_xx_523_xx_t099.tif,417939,62.249550772,50,80,63
89,160929_08_R3D_xx_523_xx_t081.tif,0,NaN,255,12,255
90,160929_23_R3D_xx_523_xx_t105.tif,590353,61.783172102,50,75,63
91,160929_03_R3D_xx_523_xx_t013.tif,300304,63.406195056,50,81,64
92,160929_22_R3D_xx_523_xx_t106.tif,585266,59.926059262,50,75,61
93,160929_25_R3D_xx_523_xx_t094.tif,397832,55.933165256,50,70,56
94,160929_16_R3D_xx_523_xx_t020.tif,454527,63.370864657,50,83,64
95,160929_30_R3D_xx_523_xx_t075.tif,358355,63.510666797,50,83,65
96,160929_18_R3D_xx_523_xx_t078.tif,587310,64.821276668,50,82,65
97,160929_23_R3D_xx_523_xx_t033.tif,620655,68.103157148,50,83,70
98,160929_22_R3D_xx_523_xx_t097.tif,607042,62.717815242,50,77,64
99,160929_22_R3D_xx_523_xx_t064.tif,624700,66.630962062,50,82,68
100,160929_17_R3D_xx_523_xx_t093.tif,434208,60.425238595,50,76,61
101,160929_08_R3D_xx_523_xx_t051.tif,0,NaN,255,17,255
102,160929_07_R3D_xx_523_xx_t008.tif,121621,60.936598120,50,79,61
103,160929_12_R3D_xx_523_xx_t064.tif,340839,62.519823142,50,81,63
104,160929_06_R3D_xx_523_xx_t116.tif,113436,57.847817271,50,79,58
105,160929_06_R3D_xx_523_xx_t028.tif,175530,57.349062838,50,72,57
106,160929_17_R3D_xx_523_xx_t088.tif,436977,60.456705959,50,75,61
107,160929_11_R3D_xx_523_xx_t051.tif,171491,62.346828697,50,79,63
