Description,Category
positive regulation of cell development,Tissue maturation
pattern specification process,Tissue maturation
muscle cell differentiation,Tissue maturation
developmental maturation,Tissue maturation
regionalization,Tissue maturation
mesenchyme development,Tissue maturation
excretion,Tissue maturation
digestion,Tissue maturation
regulation of organ morphogenesis,Tissue maturation
non-canonical Wnt signaling pathway,Tissue maturation
Neuronal System,Tissue maturation
HATs acetylate histones,Tissue maturation
angiogenesis,Reduced oxygen
glycosaminoglycan biosynthetic process,Epithelial barrier
glycoprotein biosynthetic process,Epithelial barrier
glycoprotein biosynthetic process,Epithelial barrier
Keratan sulfate biosynthesis,Epithelial barrier
Chondroitin sulfate biosynthesis,Epithelial barrier
Syndecan interactions,Epithelial barrier
Integrin cell surface interactions,Epithelial barrier
Non-integrin membrane-ECM interactions,Epithelial barrier
Termination of O-glycan biosynthesis,Epithelial barrier
O-linked glycosylation of mucins,Epithelial barrier
O-linked glycosylation,Epithelial barrier
regulation of angiogenesis,Reduced oxygen
response to oxidative stress,Reduced oxygen
response to hypoxia,Reduced oxygen
regulation of cellular response to hypoxia,Reduced oxygen
cellular response to hypoxia,Reduced oxygen
response to decreased oxygen levels,Reduced oxygen
response to oxygen levels,Reduced oxygen
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,Reduced oxygen
response to bacterium,Innate anti-microbial defense
response to tumor necrosis factor,Innate anti-microbial defense
positive regulation of defense response,Innate anti-microbial defense
I-kappaB kinase/NF-kappaB signaling,Innate anti-microbial defense
response to molecule of bacterial origin,Innate anti-microbial defense
response to lipopolysaccharide,Innate anti-microbial defense
response to interleukin-1,Innate anti-microbial defense
positive regulation of innate immune response,Innate anti-microbial defense
positive regulation of cytokine production,Innate anti-microbial defense
positive regulation of I-kappaB kinase/NF-kappaB signaling,Innate anti-microbial defense
interleukin-8 production,Innate anti-microbial defense
interleukin-6 production,Innate anti-microbial defense
NIK/NF-kappaB signaling,Innate anti-microbial defense
p75NTR signals via NF-kB,Innate anti-microbial defense
TRIF-mediated TLR3/TLR4 signaling ,Innate anti-microbial defense
NF-kB is activated and signals survival,Innate anti-microbial defense
Dectin-1 mediated noncanonical NF-kB signaling,Innate anti-microbial defense
Toll-Like Receptors Cascades,Innate anti-microbial defense
TRAF6 Mediated Induction of proinflammatory cytokines,Innate anti-microbial defense
