"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",195.642211015035,0.682181058533023,0.360586435192432,1.8918655610796,0.058508895365295,0.213466194493892
"A1CF",268.512820668636,0.0392852446617312,0.427592267335974,0.0918754796631145,0.926796973440801,0.972696687864938
"A2M",12607.8193290569,0.193481644784957,0.408164869390025,0.474028166789812,0.635479821535796,0.822461659261527
"A2ML1",11.8191309426383,-1.23697337983306,0.792990390587465,-1.55988445070145,0.118787189635844,0.329116061174453
"A2MP1",1.5232375828511,1.32005039531529,1.89203097214706,0.69768963338761,0.485371312637679,NA
"A3GALT2",0.810688237880914,0.449599247457968,2.21897662782948,0.202615584958976,0.839435507629544,NA
"A4GALT",71.1636075162238,0.850766264609394,0.645761830321879,1.31746136835825,0.18768402209775,0.426981150272382
"A4GNT",228.456375669981,1.02634938237342,0.786034329280419,1.30573098927244,0.191644055612778,0.432062386640521
"AAAS",699.034829090666,-0.404509496740417,0.166162641681942,-2.4344190285245,0.014915716644692,0.0916982478839322
"AACS",931.565558785359,-0.416031148922551,0.205695353339598,-2.02255978157997,0.0431185542529349,0.177792206862659
"AACSP1",5.62131518909496,-0.747855881710346,0.926228710569523,-0.807420319815504,0.419424363892282,NA
"AADAC",293.68478237993,0.632500690058289,0.742583870924991,0.851756568952166,0.394349216216186,0.647370307963615
"AADACL3",1.31017237848526,-0.721491933968433,2.1685941397108,-0.332700306044658,0.739360518506776,NA
"AADACL4",1.63956498161551,0.308029585916628,1.86296360274919,0.165343856134423,0.868673341625489,NA
"AADACP1",16.7800506307044,1.06418304108663,0.828916377320915,1.28382436419715,0.199203416612469,0.441757703270928
"AADAT",311.261230878502,-0.10749467350166,0.231663286624589,-0.464012554893325,0.642638750637114,0.827027423398001
"AAED1",113.995139468583,0.0436744911571583,0.202486043015773,0.215691365719247,0.829228331969493,0.932418261758533
"AAGAB",979.972851513409,0.404168429344192,0.0917713770137539,4.40407938178391,1.06234041047092e-05,0.000668813668748072
"AAK1",649.969107049733,0.160769102408737,0.15342471716118,1.04786963524164,0.294698673924124,0.549636928339196
"AAMDC",310.089507653078,0.111995702286164,0.247964655867637,0.451659942802279,0.651513979771013,0.833532320409242
"AAMP",2169.35701141275,-0.11283873692915,0.0926275819344748,-1.21819802020712,0.223148731832664,0.470128201905066
"AANAT",1.33780287983549,-0.907571241199559,1.42976638638879,-0.634768903395362,0.525579147286406,NA
"AAR2",688.20164220328,-0.0306826940878494,0.0893966190755772,-0.343219848861508,0.731433073391683,0.880588109174623
"AARD",16.4812795011307,0.658359211843662,0.59280461254914,1.11058382122337,0.266747529903526,0.518674134116762
"AARS",3155.3350446085,0.345756517423699,0.167907126879707,2.05921287469476,0.0394738503608067,0.168479185249523
"AARS2",360.810951167469,-0.307858346146256,0.184093138958122,-1.6722966857352,0.0944658328766547,0.287125428531372
"AARSD1",505.998020970212,-0.214838857991912,0.200040023485721,-1.07397936797007,0.282831928802645,0.536082750326866
"AASDH",180.337676521376,0.102314734916133,0.161419439066897,0.633843950317106,0.52618266736757,0.747726308026814
"AASDHPPT",851.832163529775,0.16691920665052,0.195267664968429,0.854822567154205,0.392649382909414,0.646157623218312
"AASS",109.935899594949,-0.0853147836242586,0.295924282699161,-0.288299367818323,0.77311759102923,0.902651255337524
"AATF",576.927811503477,-0.171714548220604,0.225625058059313,-0.761061513723637,0.446620326552131,0.686552673616767
"AATK",213.096981426528,-0.96301172993988,0.470246715543802,-2.0478861374422,0.0405711574930918,0.171527798027315
