"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",145.938554152717,-0.359109614195172,0.327449763246103,-1.09668613174496,0.272778620902378,0.523902486862162
"A1CF",313.127596981431,-0.541156115888918,0.412704588883886,-1.31124327294837,0.189775586834378,0.426432924576115
"A2M",8686.11842862826,-0.675020155163572,0.31231539771564,-2.16134125983174,0.03066898795785,0.140002996896952
"A2ML1",3.64233844150527,-0.833340831447482,0.762855878878329,-1.09239615833176,0.274659010852563,0.525973214623038
"A2MP1",0.958808226311996,-0.665525434325694,1.7042317867983,-0.390513449802506,0.696156911743313,NA
"A3GALT2",0.29496223983847,0.439812906767718,2.81484808221514,0.156247475501984,0.875837956203148,NA
"A4GALT",48.1484427585382,-0.318398791881162,0.60320784800506,-0.527842588477879,0.597608595002679,0.792780954498854
"A4GNT",143.191622590274,0.338996788534654,0.672424930886477,0.504140719600841,0.614162494268583,0.80320129735266
"AAAS",578.961974882632,-0.143770650501361,0.11023704711032,-1.30419540680804,0.192166965571393,0.42964421173062
"AACS",807.415824152222,-0.184543613089294,0.173309625992859,-1.0648203296965,0.286957243520832,0.538830361229948
"AACSP1",8.71307926164642,-0.438845288143184,0.552408780723344,-0.794421275434008,0.426950222514207,0.667874721871288
"AADAC",188.496466304783,-0.0946897012491821,0.581145491398441,-0.162936308808531,0.870568582519304,0.94337475511773
"AADACL3",0.151316700850376,-0.485313226349895,5.27337790048925,-0.0920308074839221,0.926673562618017,NA
"AADACL4",0.547106208112044,-0.866550587040875,2.00617990841491,-0.431940616794203,0.665784573459803,NA
"AADACP1",14.3618314811455,0.288580718156148,0.4976937954852,0.579835876544957,0.562025301339323,0.768227562560772
"AADAT",266.638508967343,0.0449130121459637,0.222108005871704,0.20221248653192,0.839750611927274,0.927929424382014
"AAED1",82.619876961807,0.0102515009937132,0.187488902680443,0.0546779081169722,0.956395069796626,0.982980177506008
"AAGAB",937.472877146801,0.464526671111334,0.185203160557177,2.50820056047544,0.0121347769224152,0.0769859930146173
"AAK1",553.317782790136,0.0790758879430829,0.182796616866592,0.432589449950236,0.665313055256438,0.834651025633288
