"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",145.938554152717,0.245987362013573,0.364335133413263,0.675167831630859,0.499569141780281,0.719043417688979
"A1CF",313.127596981431,1.4972230390877,0.458742759320614,3.26375296103865,0.0010994698627311,0.0202711880758352
"A2M",8686.11842862826,0.544762626652893,0.344264437489767,1.58239587749776,0.113559225249471,0.317461523274732
"A2ML1",3.64233844150527,-0.430395913802514,0.955503317390728,-0.450438952925702,0.652393963113808,0.821446334775375
"A2MP1",0.958808226311996,-0.107545836654448,1.74194645372953,-0.0617388877965743,0.950770771039605,NA
"A3GALT2",0.29496223983847,1.15782850880707,3.36572741469924,0.344005430668703,0.730842201989282,NA
"A4GALT",48.1484427585382,-0.464021900630508,0.658833767013688,-0.704308011918988,0.48124097791837,0.705913117851148
"A4GNT",143.191622590274,1.90689339102008,0.706605446067434,2.69866783738049,0.00696176235009389,0.0615695048583818
"AAAS",578.961974882632,-0.205388050252938,0.125555042062676,-1.63584071876946,0.101872927544328,0.297385263480676
"AACS",807.415824152222,0.253272008329168,0.196389311002194,1.28964253215562,0.197174801159954,0.432102827955408
"AACSP1",8.71307926164642,-1.24398200176207,0.628140843254687,-1.98041890623833,0.0476564772628578,0.191910684997745
"AADAC",188.496466304783,3.00788704364199,0.659491382468628,4.56091940486436,5.0930127822916e-06,0.000564587693714917
"AADACL3",0.151316700850376,-1.40201327688102,5.88412519968183,-0.238270470002377,0.811671323373336,NA
"AADACL4",0.547106208112044,1.0091017117452,2.31769360892069,0.435390470880716,0.663279025945723,NA
"AADACP1",14.3618314811455,1.17337738285265,0.577370991051366,2.03227630247925,0.0421256921099162,0.1771115266599
"AADAT",266.638508967343,-0.48743613162327,0.239438744201054,-2.03574460453224,0.0417760075857282,0.176454327751269
"AAED1",82.619876961807,0.436519307780962,0.215452421056626,2.02605895835459,0.0427587432046851,0.178559232107087
"AAGAB",937.472877146801,0.0491928483921755,0.136232961953786,0.361093583275852,0.718029489917223,0.860717341490817
"AAK1",553.317782790136,-0.171382575123241,0.202064662428251,-0.848157085280042,0.396350493471325,0.635958502906507
"AAMDC",280.008606162217,0.149343070459497,0.226282321222728,0.659985586379502,0.509263079004866,0.725028369829293
"AAMP",1640.36187907833,0.0558974588068475,0.12377260024017,0.451614159340461,0.651546967761301,0.820825305822364
"AANAT",1.51571753837335,-0.878079380172535,1.38165594119718,-0.635526800841382,0.525084892909801,NA
"AAR2",680.537557109664,-0.467085242903656,0.121052717026156,-3.85852754385291,0.000114072213501208,0.00477585946596742
"AARD",13.7129314934357,-0.439953326172258,0.541767521697635,-0.812070322697934,0.416751281036494,0.653935554130619
"AARS",3111.65844496799,-0.0264898456442934,0.159201537922093,-0.166391895392722,0.867848551590309,0.941972939856567
"AARS2",389.476792276329,-0.373396477208265,0.155713592250103,-2.3979697071565,0.0164862286053537,0.103937345750475
"AARSD1",409.959381685567,-0.118011908997861,0.174918865124677,-0.674666559914764,0.499887634728014,0.719276974881637
"AASDH",215.823623500777,-0.191825353901991,0.141331411112367,-1.35727332227284,0.174694380681591,0.403771722251997
"AASDHPPT",888.740818253267,-0.187597467425562,0.157563759093567,-1.19061304772603,0.233805527040836,0.475817598386072
"AASS",108.447814093021,-0.75304339256162,0.41438808003169,-1.81724192574273,0.069180077909626,0.236678581761465
"AATF",562.571561345608,0.106601449240508,0.159754556075209,0.667282685761539,0.504591583781212,0.72171928233058
"AATK",143.943978539314,1.33799293750432,0.471730081523695,2.83635279985237,0.00456320079344358,0.0473785801160453
"AB019441.29",20.1411987681103,0.304895803841222,0.499703104866537,0.610153911136205,0.541759857096827,0.748733720835293
