"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",145.938554152717,0.691565893531392,0.363272182105302,1.90371277405141,0.0569476018607895,0.258015409994001
"A1CF",313.127596981431,0.0468675049335194,0.460736666832442,0.10172297606729,0.918976564478754,0.975033969061648
"A2M",8686.11842862826,0.205169680046293,0.348604642169199,0.58854546161411,0.556166228645455,0.798592485646795
"A2ML1",3.64233844150527,-1.22176972754477,0.897640779611264,-1.36108982044452,0.173485306191315,0.464467800315205
"A2MP1",0.958808226311996,1.28063156002431,1.78002968702438,0.719443933637479,0.471867435548466,NA
"A3GALT2",0.29496223983847,0.459305965678099,3.14469779675096,0.146057266982107,0.883876180579433,NA
"A4GALT",48.1484427585382,0.859671534846207,0.667861919809839,1.28719950838189,0.198024758577597,0.495126773944924
"A4GNT",143.191622590274,1.02639029183334,0.750070187232254,1.368392330884,0.171189303508647,0.462068210066977
"AAAS",578.961974882632,-0.398038643819374,0.123650025696397,-3.21907449333408,0.0012860507082084,0.0255141466149286
"AACS",807.415824152222,-0.410471320282307,0.193772895324475,-2.11831133345542,0.034148709430319,0.19162608597599
"AACSP1",8.71307926164642,-0.714799081382766,0.631403273467867,-1.13208010065716,0.257600760101093,0.561317594008274
"AADAC",188.496466304783,0.638939360490517,0.64831900338602,0.985532364705468,0.324362641969836,0.625375170496558
"AADACL3",0.151316700850376,-0.713364070174126,5.88638648009103,-0.121188792578753,0.90354150091487,NA
"AADACL4",0.547106208112044,0.323447034894921,2.20701628492964,0.146553986530839,0.883484074839695,NA
"AADACP1",14.3618314811455,1.08921141543534,0.543958792408588,2.00237854527994,0.0452440341583676,0.22535132178795
"AADAT",266.638508967343,-0.100845757123813,0.248318756118492,-0.406114136121443,0.684658739531408,0.875961826307844
"AAED1",82.619876961807,0.0502262062560458,0.20928929440344,0.239984593570402,0.810342200202672,0.933446893408303
"AAGAB",937.472877146801,0.410778450120532,0.206730170426182,1.98702709562758,0.0469193942728251,0.230892119640016
"AAK1",553.317782790136,0.168335272808931,0.203880483110348,0.825656630987192,0.408998900526825,0.697834343483759
"AAMDC",280.008606162217,0.120684283638049,0.224972433846433,0.536440316596424,0.59165427401236,0.821686117712928
"AAMP",1640.36187907833,-0.106168257394657,0.136100846755637,-0.78007051333984,0.435349371451707,0.71558777859215
"AANAT",1.51571753837335,-0.792459882408166,1.39368837091674,-0.568606224278746,0.56962339986265,NA
"AAR2",680.537557109664,-0.0237576525851895,0.161535575519867,-0.147073810265824,0.883073761439309,0.961950519717676
"AARD",13.7129314934357,0.670005621523248,0.58441348273773,1.14645818639323,0.251605618869345,0.55428347954621
"AARS",3111.65844496799,0.351644682002012,0.157582037837344,2.23150231351228,0.0256478744418729,0.160807522762642
"AARS2",389.476792276329,-0.30051477519386,0.153911132539808,-1.95252136888886,0.0508763364554876,0.242109880877437
"AARSD1",409.959381685567,-0.207577291935334,0.178991242125504,-1.15970641619318,0.246168356983041,0.54810560787953
"AASDH",215.823623500777,0.111039552749288,0.142794873921422,0.7776158184109,0.436795532797669,0.716429165065794
"AASDHPPT",888.740818253267,0.173296365695304,0.16251450900817,1.06634396370475,0.286268182686957,0.589137915758443
"AASS",108.447814093021,-0.067766034594736,0.42138343289393,-0.160817985010327,0.872236759621473,0.957830875787511
"AATF",562.571561345608,-0.162977824144731,0.171464338270211,-0.950505660762499,0.34185537893862,0.64202995616446
"AATK",143.943978539314,-0.956489061953056,0.557270654014418,-1.71638153752182,0.0860922334536166,0.324515648946663
"AB019441.29",20.1411987681103,-0.403241829559328,0.490830829010359,-0.821549515079089,0.411333332200608,0.699832358433229
"ABAT",381.711235008774,0.0627162403616112,0.248258661809808,0.252624580767532,0.800558333295556,0.929722336145537
"ABC12-47964100C23.1",0.221924950784227,-0.450775597112475,5.87494536159789,-0.0767284747972313,0.938839551696324,NA
"ABC13-48559800H2.1",13.3384940684786,-0.267812878378762,0.54097921065992,-0.495052070581542,0.620563365173613,0.84016857845759
"ABC14-864958H18.2",50.0221030171505,-0.19373718063775,0.390547676063292,-0.496065378216086,0.619848285094503,0.839774389157851
"ABC7-42404400C24.1",7.96064575099296,0.543595633562246,1.37822056722225,0.394418459926077,0.69327211708231,0.881373091189437
"ABC7-42418200C9.1",0.875947237450579,0.929654124011454,2.24078839556333,0.414878141038275,0.678231112464791,NA
"ABC7-481722F1.1",0.169240825047282,0,5.88638648007113,0,1,NA
"ABCA1",508.97293443332,0.742785731190658,0.303959048225251,2.44370330650664,0.014537376198508,0.114593897349592
"ABCA10",67.482571569945,-0.382404089079568,0.455470480678527,-0.839580401588024,0.401143691615361,0.692708214637723
"ABCA11P",138.037848247662,-0.326318318599883,0.209570350716803,-1.55708246650235,0.119450907301776,0.386542276244214
"ABCA12",11.6571376552511,-1.27880333227182,0.81564890691782,-1.56783552509641,0.116919521833299,0.382807020083836
"ABCA13",18.5480697735705,0.180624219761085,0.547762326067274,0.329749256503087,0.741589432081018,0.904194608259617
"ABCA17P",6.53517478653117,-0.949433754396876,0.583635722376603,-1.62675744132097,0.103788623717686,0.357453613846675
"ABCA2",1149.43827083195,-0.373916127520921,0.303130225557691,-1.2335164757424,0.217383133635524,0.516230495078258
"ABCA3",87.8577845255,0.381565863067939,0.364836400256885,1.04585469761042,0.295628122970632,0.597592344393472
"ABCA4",9.7666816659996,0.414466753873447,0.711775788878675,0.5822995953914,0.56036489798468,0.800839139793399
"ABCA5",350.93431479054,0.323973149096863,0.223438682369522,1.4499420855028,0.147074669999716,0.428823930366175
"ABCA6",36.93130279669,0.882972030604521,0.414488382358496,2.13026967265111,0.0331493558396711,0.188449387660312
"ABCA7",603.928496131972,-1.0668087378781,0.305724256192738,-3.48944748828027,0.000484020144746325,0.0140247393321256
"ABCA8",61.2788506975094,1.44723809661953,0.502108988321876,2.88231864053343,0.00394760310395355,0.0526844978902179
"ABCA9",119.355432728533,0.0892948876102768,0.45996454873892,0.194134282424799,0.84607073874331,0.948676508887025
"ABCB1",14.3005313408366,-0.911626154166619,0.713004450121802,-1.27857007626093,0.201048493074891,0.497411557086261
"ABCB10",455.048308078451,-0.00966467137250917,0.188768906169298,-0.0511984286429111,0.959167403965666,0.985921034303713
"ABCB10P1",0.0323303505713183,-0.703448240899002,5.88638648009261,-0.119504256690929,0.90487586785363,NA
"ABCB11",5.47233032670785,1.26591675838758,0.879602815314936,1.43919134448691,0.150096317062739,0.433477770433197
"ABCB4",19.5189377890542,-0.2468785812969,0.557678996483806,-0.442689401705069,0.657990409354918,0.860137625985227
"ABCB5",3.01018380009963,-0.277381725580032,0.693213983303063,-0.400138676167998,0.689054379028829,0.878604112415519
"ABCB6",718.827016060872,-0.516909744787532,0.287925123247133,-1.79529225848019,0.0726071478204061,0.295618443469764
