"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",145.938554152717,0.210252722531552,0.382542077067822,0.549619859188132,0.582580134740047,0.782691382752152
"A1CF",313.127596981431,-0.917601246791096,0.481423368557442,-1.90601725367141,0.0566479671694813,0.197854885206955
"A2M",8686.11842862826,0.71111975811354,0.362855581529165,1.95978729365744,0.0500206569984618,0.182539151191488
"A2ML1",3.64233844150527,2.13671716796179,0.986874662242267,2.16513530006635,0.0303773253500066,0.132139865898129
"A2MP1",0.958808226311996,1.36497264436209,1.87486149733106,0.728039189190872,0.466589597101672,NA
"A3GALT2",0.29496223983847,1.34815136173082,3.50934071114169,0.384160864589358,0.70085922246926,NA
"A4GALT",48.1484427585382,-0.0954679783093826,0.701474535284864,-0.136096142493061,0.891745277000299,0.953420958049401
"A4GNT",143.191622590274,-2.12794510430209,1.00796576983354,-2.11112834184192,0.0347612819593736,0.14386061418547
"AAAS",578.961974882632,0.229834063389549,0.132728534234978,1.73161004688455,0.0833430161758029,0.25253635948336
"AACS",807.415824152222,-0.251929238915232,0.207190423277069,-1.2159309051574,0.224011243948577,0.464686134678163
"AACSP1",8.71307926164642,-0.250969208554316,0.64467316374217,-0.389296813749003,0.69705659303949,0.85470048757663
"AADAC",188.496466304783,-0.45780582826974,0.711308883778378,-0.643610446474304,0.519828074445038,0.73986511952263
"AADACL3",0.151316700850376,-0.419073308802857,6.20513326312535,-0.0675365525657997,0.94615456370034,NA
"AADACL4",0.547106208112044,3.40681381772633,2.26486178000315,1.50420385376523,0.132528885787818,NA
"AADACP1",14.3618314811455,-0.41648287798934,0.725897740009142,-0.573748690806083,0.566137874109892,0.771578308837624
"AADAT",266.638508967343,0.502732680718941,0.259453300400946,1.93766153655415,0.0526645294902416,0.188212691969789
"AAED1",82.619876961807,0.635118482359148,0.232413349649132,2.73271085037916,0.00628154509931614,0.0450258291665499
"AAGAB",937.472877146801,-0.150768351370995,0.149638733030849,-1.00754897022493,0.313671037316679,0.563444147081334
"AAK1",553.317782790136,0.691376445557332,0.212887427556692,3.24761519969618,0.00116376542566799,0.0138879684447014
"AAMDC",280.008606162217,-0.283155589335631,0.238189975594907,-1.18878046243725,0.234526068168511,0.478167319553288
"AAMP",1640.36187907833,-0.44451435038144,0.131480307334554,-3.38084356047607,0.000722636726526027,0.00993540947094209
"AANAT",1.51571753837335,4.20392019486121,1.32651203333678,3.16915345598972,0.00152883652324246,NA
"AAR2",680.537557109664,-0.146672178745239,0.129328314619477,-1.1341072461726,0.256749564464792,0.503938144991597
"AARD",13.7129314934357,0.0172475007282701,0.584114756981985,0.0295275894370223,0.976443815342177,0.989922851099805
"AARS",3111.65844496799,0.491497031227765,0.167289931684698,2.93799528924503,0.00330342043092839,0.0291421864442161
"AARS2",389.476792276329,-0.155567727535889,0.165406462938494,-0.940517829667496,0.346952008434222,0.595773455565314
"AARSD1",409.959381685567,0.336977130843951,0.18590292974703,1.81265099642323,0.0698856670276967,0.226559640800107
"AASDH",215.823623500777,-0.261723766136222,0.149861771046431,-1.7464344929911,0.0807354806384666,0.247313795921726
"AASDHPPT",888.740818253267,-0.0595154381156765,0.16751852187157,-0.355276762537965,0.722382262236571,0.868001210319844
"AASS",108.447814093021,0.667759530933664,0.436424543855184,1.53006869190941,0.125999726816782,0.326694790360783
"AATF",562.571561345608,-0.0917106840854193,0.168621798104256,-0.543883917242515,0.586521356847778,0.785218739388503
"AATK",143.943978539314,0.142323957646372,0.490306546685367,0.290275458503518,0.771605512239289,0.896172822794524
"AB019441.29",20.1411987681103,0.119765733012322,0.526635433014812,0.227416777345769,0.820099675600739,0.919296069105902
"ABAT",381.711235008774,-0.392886356862233,0.26371026406193,-1.48984097475238,0.136266054486712,0.34341227857918
"ABC12-47964100C23.1",0.221924950784227,-0.904372716350523,6.2051332631251,-0.14574589746926,0.884121987255825,NA
"ABC13-48559800H2.1",13.3384940684786,-0.601415221744659,0.532920778128654,-1.12852650230025,0.259097630800447,0.506649689551779
"ABC14-864958H18.2",50.0221030171505,-1.14694298228018,0.40053736908485,-2.86351055059039,0.00418974860575578,0.0343961382976485
"ABC7-42404400C24.1",7.96064575099296,1.1872805375487,1.45263168220674,0.817330746734831,0.41373944034313,0.656278921480203
"ABC7-42418200C9.1",0.875947237450579,2.41216954984557,2.22534484291355,1.08395314889149,0.278385572393661,NA
"ABC7-481722F1.1",0.169240825047282,0,6.20513326312535,0,1,NA
"ABCA1",508.97293443332,0.506487722454705,0.305459504075822,1.65811741228056,0.0972937700264609,0.279117836993229
"ABCA10",67.482571569945,0.549778894504909,0.462429919695522,1.18889126998292,0.234482455914642,0.478157081710058
"ABCA11P",138.037848247662,-0.163161988797639,0.221195952925829,-0.737635506615031,0.460735972818587,0.694083540471464
"ABCA12",11.6571376552511,-0.157807756067471,0.841653083742198,-0.187497389501407,0.851270670272083,0.935361449821662
"ABCA13",18.5480697735705,0.904063245440614,0.544336228624058,1.66085444602108,0.0967426831557538,0.278352356073019
"ABCA17P",6.53517478653117,0.320453125205899,0.507808631577065,0.631050961482656,0.528007203625243,0.74686260902805
