"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","DATABASE","gene_set"
"R-HSA-191273","R-HSA-191273","Cholesterol biosynthesis","11/459","24/10281",1.83907426220289e-09,1.38850106796318e-06,1.34736388051917e-06,"ACAT2/CYP51A1/DHCR7/FDPS/HMGCR/HMGCS1/HSD17B7/IDI1/MSMO1/NSDHL/SQLE",11,"REACTOME","Gene Set I - baseline NFkB suppression"
"R-HSA-70171","R-HSA-70171","Glycolysis","11/459","32/10281",6.86647048717941e-08,1.90167362632281e-05,1.84533265098735e-05,"ALDOA/ALDOC/ENO1/ENO2/GPI/HK2/PFKFB4/PFKL/PFKP/PGAM1/PGK1",11,"REACTOME","Gene Set I - baseline NFkB suppression"
"R-HSA-70326","R-HSA-70326","Glucose metabolism","17/459","81/10281",7.55631904499131e-08,1.90167362632281e-05,1.84533265098735e-05,"ALDOA/ALDOC/ENO1/ENO2/GPI/GYG2/HK2/PC/PCK1/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1/PHKA2/PYGL",17,"REACTOME","Gene Set I - baseline NFkB suppression"
"R-HSA-70263","R-HSA-70263","Gluconeogenesis","9/459","32/10281",7.29306838749939e-06,0.00137656665814051,0.0013357830520262,"ALDOA/ALDOC/ENO1/ENO2/GPI/PC/PCK1/PGAM1/PGK1",9,"REACTOME","Gene Set I - baseline NFkB suppression"
"R-HSA-1655829","R-HSA-1655829","Regulation of cholesterol biosynthesis by SREBP (SREBF)","10/459","55/10281",0.00013662148367264,0.0187242065088227,0.0181694635484707,"CYP51A1/DHCR7/FDPS/HMGCR/HMGCS1/IDI1/INSIG1/INSIG2/SQLE/SREBF2",10,"REACTOME","Gene Set I - baseline NFkB suppression"
"R-HSA-445355","R-HSA-445355","Smooth Muscle Contraction","8/459","36/10281",0.000148801641129717,0.0187242065088227,0.0181694635484707,"ACTA2/ACTG2/LMOD1/MYL9/MYLK/SORBS3/TPM1/TPM2",8,"REACTOME","Gene Set I - baseline NFkB suppression"
"R-HSA-5423646","R-HSA-5423646","Aflatoxin activation and detoxification","6/459","21/10281",0.000234409616199205,0.0252827514614857,0.0245336981766386,"ACY1/AKR7A3/CYP3A5/DPEP1/GGT1/GGT5",6,"REACTOME","Gene Set I - baseline NFkB suppression"
"R-HSA-2426168","R-HSA-2426168","Activation of gene expression by SREBF (SREBP)","8/459","42/10281",0.000458710999002754,0.0432908505308849,0.0420082704349891,"CYP51A1/DHCR7/FDPS/HMGCR/HMGCS1/IDI1/SQLE/SREBF2",8,"REACTOME","Gene Set I - baseline NFkB suppression"
"GO:0006695","GO:0006695","cholesterol biosynthetic process","15/701","51/15986",2.68747943560195e-09,2.68747943560195e-09,3.22690041733686e-06,"ACAT2/APOA1/CYB5R3/CYP51A1/DHCR7/FDPS/HMGCR/HMGCS1/HSD17B7/IDI1/INSIG1/INSIG2/MSMO1/NSDHL/SQLE",15,"GO","Gene Set I - baseline NFkB suppression"
"GO:1902653","GO:1902653","secondary alcohol biosynthetic process","15/701","51/15986",2.68747943560195e-09,2.68747943560195e-09,3.22690041733686e-06,"ACAT2/APOA1/CYB5R3/CYP51A1/DHCR7/FDPS/HMGCR/HMGCS1/HSD17B7/IDI1/INSIG1/INSIG2/MSMO1/NSDHL/SQLE",15,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006735","GO:0006735","NADH regeneration","11/701","26/15986",4.51075096563759e-09,4.51075096563759e-09,3.22690041733686e-06,"ALDOA/ALDOC/ENO1/ENO2/GPI/HK2/PFKFB4/PFKL/PFKP/PGAM1/PGK1",11,"GO","Gene Set I - baseline NFkB suppression"
