"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","DATABASE"
"R-HSA-446203","R-HSA-446203","Asparagine N-linked glycosylation","57/997","302/10281",5.63304310682447e-07,0.000638787088313895,0.000565676118306374,"ALG1/ALG10/ALG11/ALG2/ALG3/ALG5/ALG6/AMFR/ARF3/B4GALT3/B4GALT6/CNIH1/COG5/CTSA/DCTN4/DCTN5/DERL1/DOLK/DPM1/DYNC1I1/DYNC1LI1/DYNC1LI2/FPGT/GMPPB/GOSR1/GOSR2/LMAN2L/MAN1A2/MANEA/MGAT2/MGAT4B/MPDU1/NAGK/NANP/NAPG/NSF/PPP6C/RFT1/RNF103/RNF139/RNF185/SEC22A/SEC22C/SLC17A5/SLC35C1/STX17/TBC1D20/TMED2/TMED7/TMEM115/TRAPPC10/TRAPPC3/TRAPPC4/TRAPPC6B/UGGT1/USO1/YKT6",57,"REACTOME"
"R-HSA-983168","R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation","56/997","311/10281",3.29834419033369e-06,0.0018701611559192,0.00165611597767281,"ANAPC13/ANAPC4/AREL1/ARIH2/ASB6/ASB8/BTBD1/BTRC/CDC23/CUL2/DCAF1/FBXL14/FBXL18/FBXL3/FBXL4/FBXO21/FBXO22/FBXW2/HERC3/KBTBD8/KLHL2/KLHL20/KLHL21/KLHL9/LTN1/MYLIP/PSMC2/PSMD12/PSMD14/PSMD2/PSMD3/PSMD5/PSME3/PSMF1/RNF115/RNF14/RNF25/RNF4/RNF41/RNF6/SKP1/SPSB2/TRIM37/TRIM41/TRIP12/UBA3/UBE2A/UBE2D4/UBE2G2/UBE2K/UBE2W/UBE2Z/UBE3B/UBE3C/UBE4A/VHL",56,"REACTOME"
"R-HSA-983169","R-HSA-983169","Class I MHC mediated antigen processing & presentation","62/997","373/10281",1.44456733465523e-05,0.00546046452499676,0.00483549907810908,"ANAPC13/ANAPC4/AREL1/ARIH2/ASB6/ASB8/BTBD1/BTRC/CDC23/CHUK/CUL2/DCAF1/FBXL14/FBXL18/FBXL3/FBXL4/FBXO21/FBXO22/FBXW2/HERC3/IKBKG/KBTBD8/KLHL2/KLHL20/KLHL21/KLHL9/LTN1/MYLIP/PSMC2/PSMD12/PSMD14/PSMD2/PSMD3/PSMD5/PSME3/PSMF1/RNF115/RNF14/RNF25/RNF4/RNF41/RNF6/SKP1/SPSB2/TAP2/TIRAP/TLR2/TLR4/TRIM37/TRIM41/TRIP12/UBA3/UBE2A/UBE2D4/UBE2G2/UBE2K/UBE2W/UBE2Z/UBE3B/UBE3C/UBE4A/VHL",62,"REACTOME"
"R-HSA-72306","R-HSA-72306","tRNA processing","25/997","107/10281",2.39195062505392e-05,0.00678118002202787,0.00600505499026696,"ADAT1/ALKBH8/CLP1/DDX1/KIAA0391/LAGE3/LCMT2/METTL1/MTO1/NUP160/NUP35/NUP43/POP4/POP5/QTRT2/RANBP2/RPP14/RPP40/RTCB/TRMT12/TRMT5/TRNT1/TYW1/TYW5/XPOT",25,"REACTOME"
"R-HSA-6790901","R-HSA-6790901","rRNA modification in the nucleus and cytosol","17/997","64/10281",8.76032342405824e-05,0.0160551144925971,0.0142175617060593,"BMS1/BUD23/DCAF13/DDX52/DHX37/DIEXF/FCF1/HEATR1/KRR1/THUMPD1/UTP14A/UTP14C/UTP15/UTP20/UTP3/WDR36/WDR75",17,"REACTOME"
"R-HSA-5620920","R-HSA-5620920","Cargo trafficking to the periciliary membrane","15/997","53/10281",0.000103337755124663,0.0160551144925971,0.0142175617060593,"ARL13B/ARL6/BBS12/BBS2/BBS7/CCT3/EXOC5/EXOC6/EXOC8/MKKS/PDE6D/PKD2/TCP1/TTC8/UNC119B",15,"REACTOME"
"R-HSA-6811442","R-HSA-6811442","Intra-Golgi and retrograde Golgi-to-ER traffic","36/997","195/10281",0.000109157841732346,0.0160551144925971,0.0142175617060593,"ARF3/COG5/DCTN4/DCTN5/DYNC1I1/DYNC1LI1/DYNC1LI2/GALNT1/GCC1/GOLGA1/GOSR1/GOSR2/KIF2A/KIF3A/KIF3B/KIFAP3/M6PR/MAN1A2/NAA30/NAA35/NAPG/NSF/RAB18/RAB30/RAB36/RAB9B/RGP1/SCOC/SNAP29/SYS1/TMED2/TMED7/TRIP11/VPS53/YKT6/ZW10",36,"REACTOME"
"R-HSA-1852241","R-HSA-1852241","Organelle biogenesis and maintenance","56/997","352/10281",0.000127898108786841,0.0160551144925971,0.0142175617060593,"ACTR1A/ARL13B/ARL6/BBS12/BBS2/BBS7/CCT3/CEP41/CEP76/CRTC3/CYCS/DYNC2LI1/EXOC5/EXOC6/EXOC8/GFM1/HAUS2/HAUS6/HSP90AA1/IFT46/IFT52/IFT57/KIF3A/KIF3B/KIFAP3/MED1/MKKS/MRPL35/MRPL49/MRPS10/MRPS11/MRPS22/MRPS23/MRPS30/MTERF1/MTFMT/MTIF2/NEDD1/PDE6D/PKD2/PRKAG1/RPGRIP1L/SDCCAG8/TCP1/TFAM/TFB2M/TGS1/TNPO1/TRAF3IP1/TRIP11/TSFM/TTC26/TTC30A/TTC30B/TTC8/UNC119B",56,"REACTOME"
"R-HSA-5617833","R-HSA-5617833","Cilium Assembly","37/997","204/10281",0.000128836712396281,0.0160551144925971,0.0142175617060593,"ACTR1A/ARL13B/ARL6/BBS12/BBS2/BBS7/CCT3/CEP41/CEP76/DYNC2LI1/EXOC5/EXOC6/EXOC8/HAUS2/HAUS6/HSP90AA1/IFT46/IFT52/IFT57/KIF3A/KIF3B/KIFAP3/MKKS/NEDD1/PDE6D/PKD2/RPGRIP1L/SDCCAG8/TCP1/TNPO1/TRAF3IP1/TRIP11/TTC26/TTC30A/TTC30B/TTC8/UNC119B",37,"REACTOME"
"R-HSA-69206","R-HSA-69206","G1/S Transition","25/997","119/10281",0.000152909714022282,0.0160551144925971,0.0142175617060593,"CCNE2/CDC6/CDK7/MAX/MCM10/ORC3/ORC4/ORC5/POLE3/PPP2CA/PPP2R1B/PRIM2/PSMC2/PSMD12/PSMD14/PSMD2/PSMD3/PSMD5/PSME3/PSMF1/RPA1/RPA2/SKP1/TFDP1/TK2",25,"REACTOME"
"R-HSA-6807505","R-HSA-6807505","RNA polymerase II transcribes snRNA genes","18/997","73/10281",0.00015573744216805,0.0160551144925971,0.0142175617060593,"CDK7/GTF2A1/GTF2A2/GTF2B/ICE1/INTS12/INTS14/INTS2/INTS5/INTS7/NABP2/PHAX/POLR2B/POLR2D/POLR2K/RPAP2/SNAPC5/TAF13",18,"REACTOME"
"R-HSA-204005","R-HSA-204005","COPII (Coat Protein 2) Mediated Vesicle Transport","17/997","70/10281",0.000286350498219219,0.0256598840463142,0.0227230385038372,"CNIH1/GOSR2/LMAN2L/NAPG/NSF/PPP6C/SEC22A/SEC22C/STX17/TBC1D20/TMED2/TRAPPC10/TRAPPC3/TRAPPC4/TRAPPC6B/USO1/YKT6",17,"REACTOME"
"R-HSA-948021","R-HSA-948021","Transport to the Golgi and subsequent modification","33/997","182/10281",0.000294160928220533,0.0256598840463142,0.0227230385038372,"ARF3/B4GALT3/B4GALT6/CNIH1/COG5/DCTN4/DCTN5/DYNC1I1/DYNC1LI1/DYNC1LI2/GOSR1/GOSR2/LMAN2L/MAN1A2/MANEA/MGAT2/MGAT4B/NAPG/NSF/PPP6C/SEC22A/SEC22C/STX17/TBC1D20/TMED2/TMED7/TMEM115/TRAPPC10/TRAPPC3/TRAPPC4/TRAPPC6B/USO1/YKT6",33,"REACTOME"
"R-HSA-446193","R-HSA-446193","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","18/997","78/10281",0.000377839951370523,0.0306050360610124,0.0271022040306375,"ALG1/ALG10/ALG11/ALG2/ALG3/ALG5/ALG6/CTSA/DOLK/DPM1/FPGT/GMPPB/MPDU1/NAGK/NANP/RFT1/SLC17A5/SLC35C1",18,"REACTOME"
"R-HSA-162710","R-HSA-162710","Synthesis of glycosylphosphatidylinositol (GPI)","7/997","16/10281",0.000411662233528969,0.0311216648547901,0.0275597032130973,"PIGH/PIGM/PIGN/PIGQ/PIGV/PIGW/PIGX",7,"REACTOME"
"R-HSA-73772","R-HSA-73772","RNA Polymerase I Promoter Escape","10/997","31/10281",0.000466524386585984,0.0330649158992816,0.0292805437370414,"CD3EAP/CDK7/GTF2H1/GTF2H3/POLR1A/POLR1B/POLR2K/RRN3/TAF1B/TWISTNB",10,"REACTOME"
"R-HSA-162906","R-HSA-162906","HIV Infection","39/997","234/10281",0.00052038982611947,0.0333056672973146,0.0294937404637874,"AP1B1/AP1G1/AP1S3/BTRC/CDK7/CHMP5/CHMP7/CTDP1/FURIN/GTF2A1/GTF2A2/GTF2B/GTF2H1/GTF2H3/LIG4/NUP160/NUP35/NUP43/POLR2B/POLR2D/POLR2K/PSMC2/PSMD12/PSMD14/PSMD2/PSMD3/PSMD5/PSME3/PSMF1/RANBP2/RNGTT/SKP1/SLC25A4/TAF12/TAF13/VPS37A/VPS4B/VTA1/XRCC5",39,"REACTOME"
"R-HSA-453279","R-HSA-453279","Mitotic G1-G1/S phases","27/997","143/10281",0.00052866138567166,0.0333056672973146,0.0294937404637874,"CCNE2/CDC6/CDK7/LIN52/LIN9/MAX/MCM10/ORC3/ORC4/ORC5/POLE3/PPP2CA/PPP2R1B/PRIM2/PSMC2/PSMD12/PSMD14/PSMD2/PSMD3/PSMD5/PSME3/PSMF1/RPA1/RPA2/SKP1/TFDP1/TK2",27,"REACTOME"
"R-HSA-6811440","R-HSA-6811440","Retrograde transport at the Trans-Golgi-Network","13/997","49/10281",0.000590077155258631,0.0352182891612257,0.0311874574025892,"COG5/GCC1/GOLGA1/M6PR/NAA30/NAA35/NAPG/NSF/RAB9B/RGP1/SCOC/SYS1/VPS53",13,"REACTOME"
"GO:0016236","GO:0016236","macroautophagy","68/1700","258/15986",7.00855934457423e-13,7.00855934457423e-13,3.42976762030796e-09,"AMBRA1/ATG16L1/ATG2B/ATG3/ATG4A/ATG4C/ATP6V0C/ATP6V0D1/ATP6V0E2/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1D/ATP6V1E1/BECN1/CASP3/CDK5/CLEC16A/EI24/EPM2A/EXOC8/FYCO1/GBA/HTRA2/HTT/IKBKG/LAMP2/MAP1LC3B/MAPK8/MCOLN1/MFN2/PIK3C3/PINK1/PIP4K2A/POLDIP2/PRKAG1/PSEN1/RAB7A/RIPK2/RNF41/RPTOR/RRAGA/RRAGC/SCOC/SESN2/SH3GLB1/SIRT1/SMCR8/SNAP29/SNAPIN/SNF8/SPTLC1/SQSTM1/STAM/STX12/STX17/TBC1D14/TBK1/TIGAR/UBQLN2/UCHL1/VPS26A/VPS26B/VPS33A/VPS37A/VPS4B/VTA1/WIPI2",68,"GO"
"GO:0006914","GO:0006914","autophagy","94/1700","447/15986",5.23885447824331e-11,5.23885447824331e-11,1.28186497207122e-07,"ACBD5/AMBRA1/ANXA7/ATG16L1/ATG2B/ATG3/ATG4A/ATG4C/ATP6V0C/ATP6V0D1/ATP6V0E2/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1D/ATP6V1E1/BECN1/BMF/CAMKK2/CASP3/CDK5/CISD2/CLEC16A/CTSA/EI24/EPM2A/EXOC8/FLCN/FNBP1L/FYCO1/GBA/HSP90AA1/HSPA8/HTRA2/HTT/IKBKG/LAMP2/LAMP3/MAP1LC3B/MAPK8/MCOLN1/MFN2/MTDH/MUL1/PIK3C3/PIK3R2/PINK1/PIP4K2A/PLEKHM1/POLDIP2/PRKAG1/PSEN1/RAB7A/RIPK2/RNF185/RNF41/RPTOR/RRAGA/RRAGC/SCOC/SESN2/SH3GLB1/SIRT1/SMCR8/SNAP29/SNAPIN/SNF8/SPTLC1/SQSTM1/STAM/STX12/STX17/SVIP/TBC1D14/TBK1/TECPR2/TIGAR/TM9SF1/TOLLIP/UBQLN2/UCHL1/VPS18/VPS26A/VPS26B/VPS33A/VPS37A/VPS39/VPS41/VPS4B/VTA1/WBP11/WDR24/WDR75/WIPI2",94,"GO"
"GO:0034470","GO:0034470","ncRNA processing","84/1700","388/15986",1.24052669424179e-10,1.24052669424179e-10,2.02358196544915e-07,"AARS2/ADAT1/ALKBH1/ALKBH8/BCDIN3D/BMS1/BUD23/CLP1/DCAF13/DDX1/DDX27/DDX52/DHX37/DIEXF/ELAC1/FARS2/FCF1/FTSJ3/GTPBP4/HEATR1/INTS12/INTS2/INTS5/INTS7/ISG20L2/KIAA0391/KRR1/LAGE3/LCMT2/MAK16/METTL1/METTL2A/METTL2B/MOCS3/MPHOSPH6/MRM2/MRPS11/MTERF4/MTFMT/MTO1/NSUN4/OSGEPL1/POP4/POP5/PRKRA/PUS7L/QTRT2/RPF1/RPL7L1/RPP40/RRP15/RRP1B/RTCB/SAMD15/SHQ1/SIRT1/SRFBP1/TEX10/TFB2M/THUMPD1/TRMO/TRMT12/TRMT1L/TRMT2B/TRMT5/TRNT1/TRUB1/TRUB2/TSR1/TYW1/TYW5/USB1/UTP14A/UTP14C/UTP15/UTP20/UTP23/UTP3/WBP11/WDR36/WDR37/WDR75/XRN2/YRDC",84,"GO"
