"","X1","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","database","comparison","gene_ratio","nfkb","X3","category"
"1","GO:0006493","GO:0006493","protein O-linked glycosylation","24/2156","97/15752",0.00244426782325519,0.0221751044688092,0.0165755855828321,"ADAMTS5/ADAMTSL4/B3GNT3/B3GNT6/B3GNT7/B3GNT8/CHST4/GALNT12/GALNT3/GALNT4/GALNT5/GALNT6/GCNT1/GCNT3/GCNT4/IL15/MUC12/MUC13/MUC2/MUC3A/PGM3/ST8SIA6/TET1/TRAK1",24,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0111317254174397,"SC-514 suppressed","live-HK specific","Mucins"
"2","418990","418990","Adherens junctions interactions","11/986","31/6749",0.0031299713792299,0.0916778713658306,0.086512621483638,"ACTB/ACTG1/CDH1/CDH10/CDH3/CDH8/CDH9/CTNND1/JUP/NECTIN1/PVR",11,"REACTOME","Associated with
bacterial contact
SC-514 suppressed",0.0111561866125761,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"3","GO:0007043","GO:0007043","cell-cell junction assembly","28/2156","98/15752",8.55037177670309e-05,0.00176050818886727,0.00131595565625821,"ACE2/AGT/CAV1/CLDN1/CLDN19/CNTNAP1/CRB3/FRMPD2/FZD5/GJA1/GJB1/GPBAR1/HDAC7/JUP/MPP5/MYO1C/OCLN/PARD3/PATJ/PKN2/PKP2/PRKCA/PRKCI/RAMP2/RHOA/RHOC/UGT8/VCL",28,"GO","Associated with
bacterial contact
SC-514 suppressed",0.012987012987013,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"4","GO:0010634","GO:0010634","up-regulation of epithelial cell migration","30/2156","102/15752",2.64882065905813e-05,0.00075064159644599,0.000561094268639195,"ADAM9/AGT/ANGPT4/ANXA3/AQP1/BCAR1/CCR6/CIB1/EDN1/FGF18/FGF7/GLIPR2/HDAC6/HDAC7/HSPB1/HYAL1/ITGA3/PFN1/PRKCA/PTGS2/RAB11A/RREB1/SCARB1/SOX9/TGFB1/TGFBR2/VEGFA/VIL1/WNT5A/ZC3H12A",30,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0139146567717996,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"5","GO:0048565","GO:0048565","digestive tract development","34/2156","145/15752",0.000987770617524713,0.0112452244599844,0.00840565061133341,"ADA/AGR2/ASS1/COBL/CXCL8/DAB1/FGFR2/HMGCS2/HNF1B/IFT172/ITGA6/ITGB4/KIT/LGR4/MYOCD/NKX3-2/NR1H4/NTS/OTC/OXTR/PDGFRA/PDX1/PITX2/RARRES2/SCT/SFRP1/SFRP5/SPDEF/TCF21/TCF7L2/TGFB1/TGFBR2/THRA/WNT5A",34,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0157699443413729,"SC-514 suppressed","live-HK specific","Development"
"6","421270","421270","Cell-cell junction organization","16/986","50/6749",0.00141006850600499,0.0609686763548825,0.0575336222500282,"ACTB/ACTG1/CDH1/CDH10/CDH3/CDH8/CDH9/CRB3/CTNND1/JUP/MPP5/NECTIN1/PARD3/PATJ/PRKCI/PVR",16,"REACTOME","Associated with
bacterial contact
SC-514 suppressed",0.0162271805273834,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"7","913709","913709","O-linked glycosylation of mucins","16/986","53/6749",0.0027728556939515,0.0868190679347572,0.0819275693240116,"B3GNT3/B3GNT6/B3GNT7/B3GNT8/GALNT12/GALNT3/GALNT4/GALNT5/GALNT6/GCNT1/GCNT3/GCNT4/MUC12/MUC13/MUC2/MUC3A",16,"REACTOME","Associated with
bacterial contact
SC-514 suppressed",0.0162271805273834,"SC-514 suppressed","live-HK specific","Mucins"
"8","GO:0007586","GO:0007586","digestion","39/2156","163/15752",0.000284303340839859,0.00431170212993724,0.00322293803679619,"ACE2/ACO1/APOA1/APOA2/APOA4/AQP1/ENPEP/EZR/FABP1/FABP2/GCNT3/GPR39/KCNN4/LIPC/LIPG/MEP1A/MGAM/MOGAT2/MUC13/MUC2/NPC1L1/NPR3/NR1H3/OPRK1/OXTR/PGC/PLS1/PNLIPRP2/PTGER3/SCARB1/SCT/SCTR/SGK1/SI/SLC15A1/SOX9/VIL1/VIPR1/WNK4",39,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0180890538033395,"SC-514 suppressed","live-HK specific","Development"
"9","5173105","5173105","O-linked glycosylation","18/986","63/6749",0.00304996671263534,0.0916778713658306,0.086512621483638,"ADAMTS5/ADAMTSL4/B3GNT3/B3GNT6/B3GNT7/B3GNT8/GALNT12/GALNT3/GALNT4/GALNT5/GALNT6/GCNT1/GCNT3/GCNT4/MUC12/MUC13/MUC2/MUC3A",18,"REACTOME","Associated with
bacterial contact
SC-514 suppressed",0.0182555780933063,"SC-514 suppressed","live-HK specific","Mucins"
"10","GO:0055123","GO:0055123","digestive system development","40/2156","159/15752",7.53127857401575e-05,0.00162030079035253,0.00121115255435192,"ADA/AGR2/ASS1/C8orf22/CDKN1C/COBL/CXCL8/DAB1/FGFR2/HMGCS2/HNF1B/IFT172/IGF2/INSR/ITGA6/ITGB4/KIT/LGR4/MYOCD/NKX3-2/NR1H4/NTS/OTC/OXTR/PDGFRA/PDX1/PITX2/RARRES2/SCT/SFRP1/SFRP5/SPDEF/TCF21/TCF7L2/TGFB1/TGFBR2/THRA/WLS/WNT5A/XBP1",40,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0185528756957328,"SC-514 suppressed","live-HK specific","Development"
