"","x"
"1","A1CF"
"2","AADAC"
"3","AATK"
"4","ABHD14B"
"5","ABLIM1"
"6","AC005154.7"
"7","AC007325.2"
"8","AC010980.2"
"9","AC112229.1"
"10","AC127070.1"
"11","ACAA2"
"12","ACAP1"
"13","ACAT2"
"14","ACBD3"
"15","ACE2"
"16","ACKR3"
"17","ACLY"
"18","ACMSD"
"19","ACO1"
"20","ACOT13"
"21","ACOT9"
"22","ACP1"
"23","ACP6"
"24","ACPP"
"25","ACSM3"
"26","ACSS1"
"27","ACSS2"
"28","ACTA2"
"29","ACTB"
"30","ACTG1"
"31","ACTG2"
"32","ACTN1"
"33","ACTR3"
"34","ACVRL1"
"35","ACY1"
"36","ACY3"
"37","ADA"
"38","ADAM2"
"39","ADAM28"
"40","ADAM8"
"41","ADAMTS20"
"42","ADAMTSL4"
"43","ADAMTSL5"
"44","ADCY7"
"45","ADGRD1"
"46","ADGRG6"
"47","ADGRG7"
"48","ADH5"
"49","ADHFE1"
"50","ADM"
"51","ADORA2B"
"52","AES"
"53","AFM"
"54","AFMID"
"55","AFP"
"56","AGAP4"
"57","AGER"
"58","AGMAT"
"59","AGO4"
"60","AGR2"
"61","AGR3"
"62","AGTR1"
"63","AGXT"
"64","AHCYL1"
"65","AHNAK"
"66","AIF1"
"67","AIFM3"
"68","AIM1L"
"69","AIMP1"
"70","AJUBA"
"71","AK4"
"72","AKAP7"
"73","AKNA"
"74","AKR1A1"
"75","AKR7A3"
"76","ALDH18A1"
"77","ALDH3B1"
"78","ALDH8A1"
"79","ALDOA"
"80","ALDOB"
"81","ALDOC"
"82","ALG14"
"83","ALKBH7"
"84","ALOX15B"
"85","ALOX5"
"86","ALS2CL"
"87","AMBP"
"88","AMHR2"
"89","AMOTL2"
"90","ANG"
"91","ANGPT4"
"92","ANGPTL6"
"93","ANK3"
"94","ANKMY2"
"95","ANKRD22"
"96","ANKRD36"
"97","ANKRD37"
"98","ANKS4B"
"99","ANKZF1"
"100","ANO6"
"101","ANO7"
"102","ANP32A"
"103","ANPEP"
"104","ANXA13"
"105","ANXA3"
"106","ANXA9"
"107","AOAH"
"108","AOC3"
"109","AOX1"
"110","AP1S1"
"111","AP3S1"
"112","APAF1"
"113","APH1B"
"114","APLN"
"115","APOA1"
"116","APOA2"
"117","APOA4"
"118","APOBEC1"
"119","APOBEC3C"
"120","APOBEC3D"
"121","APOC1"
"122","APOC2"
"123","APOC3"
"124","APOM"
"125","APOOL"
"126","APP"
"127","APPL2"
"128","AQP1"
"129","AQP10"
"130","AQP12A"
"131","AQP12B"
"132","AQP7"
"133","ARAP1"
"134","ARCN1"
"135","ARF1"
"136","ARF4"
"137","ARFGAP3"
"138","ARFGEF3"
"139","ARG2"
"140","ARHGAP10"
"141","ARHGAP18"
"142","ARHGAP4"
"143","ARHGAP6"
"144","ARHGEF10L"
"145","ARHGEF19"
"146","ARHGEF9"
