HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
2761	DEFA1	defensin alpha 1	Approved	DEF1, MRS, DEFA2	HNP-1	8p23.1	M26602	NM_004084	DEFA	Defensins, alpha	502
31801	DEFA10P	defensin alpha 10, pseudogene	Approved			8p23.1	AY746435		DEFA	Defensins, alpha	502
33354	DEFA11P	defensin alpha 11, pseudogene	Approved		DEFAP3	8p23.1	AY746436		DEFA	Defensins, alpha	502
32231	DEFA1A3	defensin alpha 1 and alpha 3, variable copy number locus	Approved		DEFA1, DEFA3, DEFT1P	8p23.1			DEFA	Defensins, alpha	502
33596	DEFA1B	defensin alpha 1B	Approved			8p23.1		NM_001042500	DEFA	Defensins, alpha	502
2762	DEFA3	defensin alpha 3	Approved	DEF3	HNP-3	8p23.1	M23281	NM_005217	DEFA	Defensins, alpha	502
2763	DEFA4	defensin alpha 4	Approved	DEF4	HP-4	8p23.1	X65977	NM_001925	DEFA	Defensins, alpha	502
2764	DEFA5	defensin alpha 5	Approved	DEF5	HD-5	8p23.1	BC069690	NM_021010	DEFA	Defensins, alpha	502
2765	DEFA6	defensin alpha 6	Approved		HD-6, DEF6	8p23.1	M98331	NM_001926	DEFA	Defensins, alpha	502
31798	DEFA7P	defensin alpha 7, pseudogene	Approved	DEFA7		8p23.1	AY746432		DEFA	Defensins, alpha	502
31799	DEFA8P	defensin alpha 8, pseudogene	Approved		DEFAP1	8p23.1	AY746433		DEFA	Defensins, alpha	502
31800	DEFA9P	defensin alpha 9, pseudogene	Approved		DEFAP2	8p23.1	AY746434		DEFA	Defensins, alpha	502
2766	DEFB1	defensin beta 1	Approved		HBD-1, DEFB-1, DEFB101, HBD1, BD1, MGC51822	8p23.1	X92744	NM_005218	DEFB	Defensins, beta	503
15967	DEFB103A	defensin beta 103A	Approved	DEFB3, DEFB103	HBD-3, HBP-3, HBD3, HBP3, DEFB-3	8p23.1	AF217245	NM_001081551	DEFB	Defensins, beta	503
31702	DEFB103B	defensin beta 103B	Approved			8p23.1		NM_018661	DEFB	Defensins, beta	503
18115	DEFB104A	defensin beta 104A	Approved	DEFB104	DEFB4, DEFB-4	8p23.1	AJ314835	NM_080389	DEFB	Defensins, beta	503
26165	DEFB104B	defensin beta 104B	Approved			8p23.1			DEFB	Defensins, beta	503
18087	DEFB105A	defensin beta 105A	Approved	DEFB105	DEFB-5	8p23.1	AB089180	NM_152250	DEFB	Defensins, beta	503
29930	DEFB105B	defensin beta 105B	Approved			8p23.1			DEFB	Defensins, beta	503
18088	DEFB106A	defensin beta 106A	Approved	DEFB106	DEFB-6	8p23.1	AY122466	NM_152251	DEFB	Defensins, beta	503
28879	DEFB106B	defensin beta 106B	Approved			8p23.1			DEFB	Defensins, beta	503
18086	DEFB107A	defensin beta 107A	Approved	DEFB107	DEFB-7	8p23.1	AF540979		DEFB	Defensins, beta	503
